legend,step,pwr,,76.1077233333334
Minimum,0,78.17,,
Minimum,1,77.91,,
Minimum,2,76.83,,
Minimum,3,77.16,,
Minimum,4,76.18,,
Minimum,5,76.36,,
Minimum,6,77.84,,
Minimum,7,76.89,,
Minimum,8,76.45,,
Minimum,9,77.19,,
Minimum,10,76.84,,
Minimum,11,76.21,,
Minimum,12,82.02,,
Minimum,13,77.26,,
Minimum,14,75.19,,
Minimum,15,77.9,,
Minimum,16,74.84,,
Minimum,17,77.56,,
Minimum,18,75.21,,
Minimum,19,77.27,,
Minimum,20,76.47,,
Minimum,21,76.65,,
Minimum,22,75.98,,
Minimum,23,76.1,,
Minimum,24,77.26,,
Minimum,25,74.35,,
Minimum,26,76.76,,
Minimum,27,76.25,,
Minimum,28,75.28,,
Minimum,29,76.56,,
Minimum,30,75.05,,
Minimum,31,75.49,,
Minimum,32,75.96,,
Minimum,33,75.87,,
Minimum,34,74.61,,
Minimum,35,76.6,,
Minimum,36,74.74,,
Minimum,37,75.19,,
Minimum,38,76.19,,
Minimum,39,74.52,,
Minimum,40,77.15,,
Minimum,41,77.31,,
Minimum,42,76.78,,
Minimum,43,77.04,,
Minimum,44,76.2,,
Minimum,45,78.49,,
Minimum,46,76.38,,
Minimum,47,76.49,,
Minimum,48,77.66,,
Minimum,49,76.88,,
Minimum,50,76.84,,
Minimum,51,76.73,,
Minimum,52,77.62,,
Minimum,53,76.06,,
Minimum,54,74.97,,
Minimum,55,74.96,,
Minimum,56,76.48,,
Minimum,57,74.46,,
Minimum,58,75.27,,
Minimum,59,74.98,,
Minimum,60,80.9,,
Minimum,61,75.12,,
Minimum,62,73.99,,
Minimum,63,74.71,,
Minimum,64,75.93,,
Minimum,65,75.5,,
Minimum,66,76.08,,
Minimum,67,75.42,,
Minimum,68,75.57,,
Minimum,69,75.18,,
Minimum,70,75.41,,
Minimum,71,75.95,,
Minimum,72,74.85,,
Minimum,73,74.78,,
Minimum,74,75.6,,
Minimum,75,75.46,,
Minimum,76,76.51,,
Minimum,77,74.98,,
Minimum,78,75.14,,
Minimum,79,74.13,,
Minimum,80,76.32,,
Minimum,81,76.24,,
Minimum,82,76.23,,
Minimum,83,75.71,,
Minimum,84,74.63,,
Minimum,85,75.71,,
Minimum,86,74.6,,
Minimum,87,75.82,,
Minimum,88,75.27,,
Minimum,89,74.3,,
Minimum,90,74.98,,
Minimum,91,76.4,,
Minimum,92,73.94,,
Minimum,93,75.88,,
Minimum,94,75.61,,
Minimum,95,75.53,,
Minimum,96,74.84,,
Minimum,97,75.14,,
Minimum,98,74.21,,
Minimum,99,76.24,,
Minimum,100,75.55,,
Minimum,101,74.78,,
Minimum,102,75.84,,
Minimum,103,74.5,,
Minimum,104,76.21,,
Minimum,105,75.45,,
Minimum,106,73.88,,
Minimum,107,75.78,,
Minimum,108,76.34,,
Minimum,109,76.21,,
Minimum,110,77.25,,
Minimum,111,75.89,,
Minimum,112,74.24,,
Minimum,113,75.33,,
Minimum,114,75.3,,
Minimum,115,75.54,,
Minimum,116,76.32,,
Minimum,117,75.37,,
Minimum,118,76.57,,
Minimum,119,74.33,,
Minimum,120,75.39,,
Minimum,121,75.67,,
Minimum,122,75.73,,
Minimum,123,73.43,,
Minimum,124,76.95,,
Minimum,125,75.55,,
Minimum,126,74.47,,
