legend,step,pwr
Minimum,0,77.89
Minimum,1,74.37
Minimum,2,73.39
Minimum,3,74.26
Minimum,4,74.97
Minimum,5,75.52
Minimum,6,74.64
Minimum,7,75.59
Minimum,8,74.9
Minimum,9,73.56
Minimum,10,75.69
Minimum,11,74.24
Minimum,12,84.93
Minimum,13,75.02
Minimum,14,73.61
Minimum,15,74.07
Minimum,16,74.07
Minimum,17,74.43
Minimum,18,75.38
Minimum,19,74.35
Minimum,20,73.95
Minimum,21,74.43
Minimum,22,75.46
Minimum,23,74.26
Minimum,24,73.87
Minimum,25,74.14
Minimum,26,75.23
Minimum,27,74.31
Minimum,28,74.55
Minimum,29,74.6
Minimum,30,73.98
Minimum,31,74.55
Minimum,32,74.21
Minimum,33,75.1
Minimum,34,74.97
Minimum,35,74.13
Minimum,36,74.18
Minimum,37,75.1
Minimum,38,73.28
Minimum,39,75.52
Minimum,40,72.29
Minimum,41,75.57
Minimum,42,73.32
Minimum,43,75.09
Minimum,44,74.89
Minimum,45,73.81
Minimum,46,73.95
Minimum,47,74.01
Minimum,48,75.09
Minimum,49,74.69
Minimum,50,74.0
Minimum,51,74.75
Minimum,52,75.58
Minimum,53,73.4
Minimum,54,74.64
Minimum,55,74.22
Minimum,56,74.4
Minimum,57,73.54
Minimum,58,74.75
Minimum,59,74.79
Minimum,60,81.84
Minimum,61,75.28
Minimum,62,73.95
Minimum,63,75.24
Minimum,64,74.89
Minimum,65,73.52
Minimum,66,74.65
Minimum,67,73.84
Minimum,68,75.21
Minimum,69,73.69
Minimum,70,73.81
Minimum,71,75.29
Minimum,72,73.89
Minimum,73,74.14
Minimum,74,74.5
Minimum,75,73.68
Minimum,76,75.21
Minimum,77,74.63
Minimum,78,73.78
Minimum,79,75.73
Minimum,80,74.38
Minimum,81,73.23
Minimum,82,74.56
Minimum,83,74.55
Minimum,84,74.43
Minimum,85,74.19
Minimum,86,73.7
Minimum,87,74.39
Minimum,88,74.16
Minimum,89,75.2
Minimum,90,75.8
Minimum,91,73.34
Minimum,92,74.42
Minimum,93,75.42
Minimum,94,73.97
Minimum,95,74.02
Minimum,96,74.14
Minimum,97,75.13
Minimum,98,74.08
Minimum,99,75.13
Minimum,100,75.23
Minimum,101,72.82
Minimum,102,74.66
Minimum,103,74.1
Minimum,104,73.6
Minimum,105,75.06
Minimum,106,73.74
Minimum,107,74.58
Minimum,108,74.73
Minimum,109,74.13
Minimum,110,75.52
Minimum,111,73.63
Minimum,112,73.74
Minimum,113,74.78
Minimum,114,73.98
Minimum,115,73.83
Minimum,116,73.38
Minimum,117,76.16
Minimum,118,74.24
Minimum,119,74.08
Minimum,120,76.57
Minimum,121,73.97
Minimum,122,74.54
Minimum,123,74.11
Minimum,124,73.88
Minimum,125,73.81
Minimum,126,73.83
Minimum,127,75.1
Minimum,128,73.7
Minimum,129,74.52
Minimum,130,75.48
Minimum,131,73.21
Minimum,132,74.35
Minimum,133,74.58
Minimum,134,73.67
Minimum,135,75.26
Minimum,136,74.05
Minimum,137,74.37
Minimum,138,76.02
Minimum,139,73.65
Minimum,140,74.8
Minimum,141,74.26
Minimum,142,74.01
Minimum,143,75.52
Minimum,144,74.64
Minimum,145,73.79
Minimum,146,75.11
Minimum,147,74.09
Minimum,148,75.26
Minimum,149,74.49
Minimum,150,74.6
Minimum,151,74.3
Minimum,152,75.3
Minimum,153,73.05
Minimum,154,74.61
Minimum,155,75.12
Minimum,156,74.16
Minimum,157,74.76
Minimum,158,74.44
Minimum,159,74.03
Minimum,160,74.3
Minimum,161,74.98
Minimum,162,74.05
Minimum,163,74.76
Minimum,164,74.34
Minimum,165,75.88
Minimum,166,72.77
Minimum,167,74.45
Minimum,168,74.67
Minimum,169,73.86
Minimum,170,73.55
Minimum,171,76.05
Minimum,172,74.07
Minimum,173,74.52
Minimum,174,75.16
Minimum,175,74.29
Minimum,176,75.04
Minimum,177,75.44
Minimum,178,74.4
Minimum,179,74.1
Minimum,180,75.29
Minimum,181,74.13
Minimum,182,73.89
Minimum,183,75.25
Minimum,184,75.13
Minimum,185,73.49
Minimum,186,75.1
Minimum,187,74.08
Minimum,188,74.87
Minimum,189,74.96
Minimum,190,73.62
Minimum,191,74.49
Minimum,192,74.81
Minimum,193,75.22
Minimum,194,73.78
Minimum,195,74.89
Minimum,196,73.49
Minimum,197,74.67
Minimum,198,75.0
Minimum,199,74.01
Minimum,200,73.85
Minimum,201,75.16
Minimum,202,75.42
Minimum,203,74.36
Minimum,204,74.87
Minimum,205,73.87
Minimum,206,74.44
Minimum,207,73.97
Minimum,208,74.64
Minimum,209,74.13
Minimum,210,74.59
Minimum,211,74.61
Minimum,212,73.96
Minimum,213,74.53
Minimum,214,74.65
Minimum,215,74.46
Minimum,216,75.09
Minimum,217,74.28
Minimum,218,74.17
Minimum,219,74.83
Minimum,220,74.7
Minimum,221,73.76
Minimum,222,75.0
Minimum,223,74.33
Minimum,224,74.42
Minimum,225,74.23
Minimum,226,74.07
Minimum,227,74.63
Minimum,228,74.61
Minimum,229,74.74
Minimum,230,75.2
Minimum,231,75.17
Minimum,232,74.75
Minimum,233,73.99
Minimum,234,73.9
Minimum,235,75.29
Minimum,236,74.65
Minimum,237,74.99
Minimum,238,74.33
Minimum,239,74.78
Minimum,240,74.18
Minimum,241,74.19
Minimum,242,75.37
Minimum,243,73.6
Minimum,244,74.75
Minimum,245,73.82
Minimum,246,74.59
Minimum,247,73.47
Minimum,248,74.58
Minimum,249,75.29
Minimum,250,74.05
Minimum,251,73.78
Minimum,252,74.62
Minimum,253,73.91
Minimum,254,73.77
Minimum,255,75.89
Minimum,256,74.02
Minimum,257,74.14
Minimum,258,75.97
Minimum,259,73.56
Minimum,260,74.83
Minimum,261,74.08
Minimum,262,74.59
Minimum,263,74.58
Minimum,264,74.5
Minimum,265,74.71
Minimum,266,74.47
Minimum,267,74.7
Minimum,268,73.93
Minimum,269,74.04
Minimum,270,74.69
Minimum,271,74.57
Minimum,272,73.93
Minimum,273,73.82
Minimum,274,74.72
Minimum,275,73.79
Minimum,276,74.77
Minimum,277,74.02
Minimum,278,73.76
Minimum,279,74.54
Minimum,280,75.4
Minimum,281,74.16
Minimum,282,74.04
Minimum,283,73.82
Minimum,284,74.23
Minimum,285,74.23
Minimum,286,74.84
Minimum,287,75.35
Minimum,288,74.32
Minimum,289,73.95
Minimum,290,74.59
Minimum,291,74.05
Minimum,292,73.57
Minimum,293,73.27
Minimum,294,77.0
Minimum,295,74.97
Minimum,296,73.32
Minimum,297,74.33
Minimum,298,73.85
Minimum,299,74.95
Minimum,300,74.22
Minimum,301,74.94
Minimum,302,73.85
Minimum,303,74.65
Minimum,304,73.54
Minimum,305,76.43
Minimum,306,73.7
Minimum,307,72.72
Minimum,308,74.57
Minimum,309,75.31
Minimum,310,74.15
Minimum,311,75.23
Minimum,312,74.07
Minimum,313,75.28
Minimum,314,75.05
Minimum,315,75.38
Minimum,316,73.8
Minimum,317,74.72
Minimum,318,74.2
Minimum,319,74.0
Minimum,320,74.03
Minimum,321,74.66
Minimum,322,74.27
Minimum,323,75.23
Minimum,324,74.68
Minimum,325,74.18
Minimum,326,74.36
Minimum,327,73.34
Minimum,328,74.46
Minimum,329,74.73
Minimum,330,74.0
Minimum,331,74.48
Minimum,332,74.96
Minimum,333,75.81
Minimum,334,74.9
Minimum,335,73.03
Minimum,336,75.04
Minimum,337,73.72
Minimum,338,73.29
Minimum,339,75.83
Minimum,340,74.06
Minimum,341,73.97
Minimum,342,75.78
Minimum,343,75.37
Minimum,344,73.96
Minimum,345,74.86
Minimum,346,74.26
Minimum,347,73.51
Minimum,348,73.98
Minimum,349,75.22
Minimum,350,74.83
Minimum,351,73.35
Minimum,352,74.49
Minimum,353,75.02
Minimum,354,74.0
Minimum,355,74.6
Minimum,356,73.7
Minimum,357,75.24
Minimum,358,73.13
Minimum,359,75.15
Minimum,360,74.33
Minimum,361,73.57
Minimum,362,75.47
Minimum,363,73.36
Minimum,364,74.8
Minimum,365,74.12
Minimum,366,74.05
Minimum,367,74.54
Minimum,368,73.78
Minimum,369,75.78
Minimum,370,74.96
Minimum,371,74.41
Minimum,372,75.33
Minimum,373,74.48
Minimum,374,74.32
Minimum,375,73.69
Minimum,376,74.91
Minimum,377,74.72
Minimum,378,74.87
Minimum,379,73.67
Minimum,380,73.98
Minimum,381,74.09
Minimum,382,76.23
Minimum,383,73.69
Minimum,384,74.34
Minimum,385,74.76
Minimum,386,73.98
Minimum,387,75.98
Minimum,388,73.13
Minimum,389,74.49
Minimum,390,73.94
Minimum,391,75.07
Minimum,392,73.8
Minimum,393,74.94
Minimum,394,74.14
Minimum,395,74.8
Minimum,396,74.44
Minimum,397,74.53
Minimum,398,73.83
Minimum,399,75.72
Minimum,400,74.41
Minimum,401,73.74
Minimum,402,74.5
Minimum,403,74.96
Minimum,404,73.41
Minimum,405,74.62
Minimum,406,74.25
Minimum,407,74.81
Minimum,408,73.74
Minimum,409,75.18
Minimum,410,73.88
Minimum,411,75.82
Minimum,412,73.71
Minimum,413,74.75
Minimum,414,73.65
Minimum,415,75.05
Minimum,416,74.38
Minimum,417,74.06
Minimum,418,74.36
Minimum,419,74.66
Minimum,420,73.05
Minimum,421,76.32
Minimum,422,74.1
Minimum,423,74.42
Minimum,424,74.06
Minimum,425,74.78
Minimum,426,75.89
Minimum,427,74.5
Minimum,428,74.01
Minimum,429,74.29
Minimum,430,74.51
Minimum,431,74.31
Minimum,432,73.9
Minimum,433,74.28
Minimum,434,74.83
Minimum,435,74.92
Minimum,436,74.03
Minimum,437,74.78
Minimum,438,74.28
Minimum,439,73.89
Minimum,440,75.24
Minimum,441,74.1
Minimum,442,75.83
Minimum,443,73.33
Minimum,444,74.32
Minimum,445,74.54
Minimum,446,73.51
Minimum,447,74.62
Minimum,448,75.21
Minimum,449,73.56
Minimum,450,75.47
Minimum,451,74.87
Minimum,452,73.85
Minimum,453,75.19
Minimum,454,74.29
Minimum,455,75.51
Minimum,456,74.32
Minimum,457,75.47
Minimum,458,73.54
Minimum,459,75.28
Minimum,460,74.12
Minimum,461,74.36
Minimum,462,74.47
Minimum,463,75.02
Minimum,464,74.73
Minimum,465,73.58
Minimum,466,74.87
Minimum,467,74.54
Minimum,468,74.32
Minimum,469,74.53
Minimum,470,74.07
Minimum,471,75.48
Minimum,472,74.33
Minimum,473,74.06
Minimum,474,74.3
Minimum,475,75.8
Minimum,476,73.69
Minimum,477,73.91
Minimum,478,74.4
Minimum,479,73.77
Minimum,480,75.64
Minimum,481,74.28
Minimum,482,74.4
Minimum,483,75.18
Minimum,484,73.78
Minimum,485,75.22
Minimum,486,74.57
Minimum,487,74.52
Minimum,488,74.25
Minimum,489,75.66
Minimum,490,74.6
Minimum,491,74.92
Minimum,492,74.3
Minimum,493,74.72
Minimum,494,74.0
Minimum,495,74.67
Minimum,496,74.05
Minimum,497,74.24
Minimum,498,74.26
Minimum,499,75.71
Minimum,500,74.7
Minimum,501,74.43
Minimum,502,73.71
Minimum,503,75.31
Minimum,504,73.43
Minimum,505,75.4
Minimum,506,72.97
Minimum,507,74.65
Minimum,508,76.28
Minimum,509,73.9
Minimum,510,75.28
Minimum,511,74.51
Minimum,512,75.03
Minimum,513,74.05
Minimum,514,74.67
Minimum,515,73.59
Minimum,516,75.46
Minimum,517,74.43
Minimum,518,74.08
Minimum,519,75.12
Minimum,520,73.76
