seed,legend,step,snr,demand,action_mcs,action_prb,mcs,prb,pwr,tbs,reward,cum_regret,avg_regret
5,Baseline,0,17.0,2296.0667,28.0,106.0,22.0,0.0,79.62009,18721.066,6.8180776,7.029511,7.029511
5,Baseline,1,18.0,2295.8333,23.0,66.0,22.0,0.0,79.171616,18720.56,6.8520913,11.81792,4.7884088
5,Baseline,2,17.5,3763.5667,12.0,81.0,22.0,93.0,78.72582,19896.824,7.0407176,12.795223,0.9773039
5,Baseline,3,18.0,4586.1,14.0,41.0,22.0,93.0,78.58266,21599.648,7.0581393,12.869863,0.07463922
5,Baseline,4,17.0,3334.5334,15.0,61.0,22.0,93.0,78.36224,22148.723,7.075683,13.557209,0.68734604
5,Baseline,5,17.5,2557.3,25.0,101.0,22.0,0.0,77.83497,22012.598,7.129066,18.378448,4.82124
5,Baseline,6,17.0,3272.6667,26.0,101.0,22.0,0.0,77.620605,22466.885,7.1471167,18.732203,0.3537535
5,Baseline,7,17.5,2675.9666,11.0,76.0,22.0,91.0,77.38554,22398.596,7.1652985,24.396664,5.664461
5,Baseline,8,18.0,3853.7334,10.0,41.0,23.0,0.0,77.085945,23278.896,7.3355894,24.436405,0.039740678
5,Baseline,9,17.0,5017.6,17.0,56.0,23.0,0.0,76.68414,25002.688,7.3729033,24.714134,0.27772862
5,Baseline,10,18.0,5207.0,12.0,106.0,23.0,0.0,76.39199,26704.578,7.5095496,28.984863,4.2707295
5,Baseline,11,19.0,4609.033,28.0,71.0,24.0,0.0,76.1205,27769.16,7.528561,29.536083,0.55122066
5,Baseline,12,17.5,6109.8,25.0,26.0,24.0,0.0,75.84298,29973.684,7.6723804,33.30832,3.772234
5,Baseline,13,18.0,4692.8335,17.0,31.0,24.0,0.0,75.52156,30781.836,7.691836,33.310993,0.0026730674
5,Baseline,14,18.0,6251.8667,25.0,91.0,25.0,71.0,75.42034,32048.826,7.806751,35.06065,1.7496573
5,Baseline,15,18.0,6648.967,22.0,26.0,25.0,0.0,75.65395,33687.117,7.7871428,36.81267,1.752023
5,Baseline,16,17.5,6034.3,19.0,26.0,25.0,101.0,75.69096,34639.926,7.8741517,38.539207,1.7265354
5,Baseline,17,18.0,5094.1665,28.0,21.0,25.0,7.0,75.990814,35086.812,7.8353915,39.27281,0.7336038
5,Baseline,18,17.5,8393.566,16.0,61.0,25.0,0.0,76.21393,37691.863,7.8962746,40.08379,0.8109762
5,Baseline,19,18.0,6841.2334,22.0,106.0,25.0,0.0,76.147316,39236.652,7.8962746,40.399754,0.31596485
5,Baseline,20,18.0,5439.4,19.0,31.0,24.0,0.0,76.21439,39508.027,7.8962746,41.842587,1.4428312
5,Baseline,21,18.0,5427.533,26.0,61.0,24.0,6.0,76.228035,39962.742,7.8962746,43.055534,1.212946
5,Baseline,22,17.5,2892.1,14.0,6.0,24.0,0.0,76.33127,38310.043,7.877263,43.87049,0.8149578
5,Baseline,23,18.0,4014.4,26.0,41.0,23.0,61.0,76.26537,37707.04,7.8962746,45.126244,1.2557515
5,Baseline,24,17.5,2362.0667,26.0,16.0,23.0,0.0,76.19974,35826.95,7.816234,45.67013,0.5438886
5,Baseline,25,18.0,2209.1667,23.0,41.0,23.0,0.0,76.17502,34002.812,7.729225,46.95,1.2798692
5,Baseline,26,16.5,2281.1333,24.0,96.0,23.0,12.0,76.01639,32465.893,7.7483826,48.777287,1.8272871
5,Baseline,27,17.5,1597.3334,19.0,86.0,23.0,14.0,76.024796,30520.69,7.653075,58.757317,9.980031
5,Baseline,28,17.5,1363.5333,16.0,91.0,23.0,18.0,75.987976,28591.633,7.653075,60.865036,2.1077209
5,Baseline,29,18.0,2573.9333,28.0,26.0,23.0,0.0,75.68325,27826.684,7.586479,62.28874,1.423702
5,Baseline,30,18.0,2579.0667,15.0,76.0,23.0,0.0,75.70494,27099.002,7.5670238,63.27886,0.9901203
5,Baseline,31,17.5,3091.3333,23.0,106.0,23.0,23.0,75.6712,26895.688,7.586479,65.28891,2.0100534
5,Baseline,32,16.0,2072.3333,25.0,96.0,23.0,0.0,75.52512,25897.0,7.586479,66.83213,1.5432212
5,Baseline,33,17.0,2425.2,9.0,11.0,23.0,0.0,75.43764,25265.594,7.4883084,71.64181,4.8096786
5,Baseline,34,16.5,3371.3333,17.0,41.0,23.0,0.0,75.453316,25439.14,7.4883084,77.0302,5.388387
5,Baseline,35,17.0,4645.3335,13.0,61.0,23.0,0.0,75.6741,26595.52,7.586479,82.92074,5.890541
5,Baseline,36,16.5,3751.3,12.0,41.0,23.0,0.0,75.78556,26946.527,7.5670238,86.16109,3.2403493
5,Baseline,37,17.0,3947.4666,10.0,46.0,23.0,0.0,76.44347,27008.889,7.5095496,92.24811,6.0870214
5,Baseline,38,17.0,3538.5334,24.0,16.0,23.0,81.0,76.31379,27178.479,7.5095496,96.32203,4.073918
5,Baseline,39,17.0,3487.2334,14.0,41.0,23.0,77.0,76.46783,27272.791,7.5095496,99.00311,2.681083
5,Baseline,40,17.0,3441.3,13.0,51.0,23.0,0.0,76.08041,27338.633,7.5477185,106.93664,7.9335246
5,Baseline,41,17.0,4343.7,21.0,36.0,23.0,82.0,76.30299,28119.623,7.5095496,110.34944,3.4128058
5,Baseline,42,17.0,4368.2666,23.0,96.0,23.0,24.0,76.41064,28847.074,7.614907,117.65661,7.3071694
5,Baseline,43,17.0,4115.1665,15.0,11.0,23.0,74.0,76.53583,29291.219,7.596039,121.85658,4.199972
5,Baseline,44,17.0,4187.5,25.0,11.0,23.0,0.0,76.515274,29749.67,7.596039,129.33383,7.477257
5,Baseline,45,16.5,4620.6665,26.0,96.0,23.0,106.0,77.01251,30096.25,7.5587244,134.57613,5.242299
5,Baseline,46,16.5,6841.9,15.0,66.0,23.0,84.0,77.04863,32263.318,7.6540318,140.69699,6.1208572
5,Baseline,47,17.0,3084.3,14.0,16.0,23.0,0.0,77.025665,31473.68,7.5587244,145.5116,4.8146048
5,Baseline,48,16.5,4105.7,15.0,46.0,23.0,0.0,76.949135,31605.059,7.6540318,152.14806,6.6364603
5,Baseline,49,17.0,2898.4,13.0,106.0,23.0,0.0,77.345474,30781.54,7.5219593,157.88354,5.735487
5,Baseline,50,17.0,3115.3,10.0,26.0,23.0,11.0,77.10501,30162.373,7.540274,162.45674,4.573198
5,Baseline,51,17.0,3650.8333,13.0,36.0,23.0,0.0,76.61024,30032.96,7.596039,168.60721,6.150469
5,Baseline,52,16.5,3635.9,15.0,61.0,23.0,0.0,76.54037,29963.078,7.596039,172.02718,3.4199717
5,Baseline,53,18.0,2805.9666,19.0,6.0,23.0,0.0,76.53742,29115.49,7.596039,178.7064,6.6792307
5,Baseline,54,16.5,3423.6,19.0,106.0,23.0,0.0,76.379776,28962.635,7.614907,179.28717,0.58077013
5,Baseline,55,16.5,4750.6665,19.0,16.0,23.0,0.0,76.17292,29898.105,7.6339183,185.64206,6.3548894
5,Baseline,56,17.0,4701.7334,11.0,6.0,23.0,0.0,76.30433,30708.32,7.614907,192.89165,7.249582
5,Baseline,57,17.0,4265.7,28.0,11.0,23.0,0.0,76.418495,31084.822,7.614907,197.15225,4.260612
5,Baseline,58,17.0,5257.7,12.0,46.0,23.0,0.0,76.16603,32225.326,7.729225,202.91335,5.7610874
5,Baseline,59,17.0,5394.3,12.0,26.0,23.0,0.0,76.03591,33155.33,7.7483826,209.41711,6.503763
5,Baseline,60,16.5,4382.8,17.0,41.0,23.0,0.0,76.33756,33347.527,7.7102137,214.4796,5.0624895
5,Baseline,61,17.0,3667.2,26.0,51.0,23.0,65.0,76.818085,32892.43,7.6726193,219.61655,5.136949
5,Baseline,62,17.0,3589.1333,20.0,71.0,23.0,0.0,76.620445,32487.771,7.6913457,225.71484,6.0982985
5,Baseline,63,17.0,4916.533,13.0,96.0,23.0,0.0,76.504745,33055.207,7.6913457,231.3166,5.6017566
5,Baseline,64,18.0,5494.7334,26.0,56.0,23.0,0.0,76.70586,33638.33,7.6726193,235.3895,4.0728984
5,Baseline,65,16.5,5339.6333,28.0,66.0,23.0,13.0,77.13508,34601.695,7.7225904,237.22734,1.8378389
5,Baseline,66,17.0,3752.8,20.0,96.0,23.0,0.0,76.979195,34187.527,7.6540318,241.59802,4.370676
5,Baseline,67,17.0,6403.5,13.0,31.0,23.0,0.0,77.258316,35396.24,7.7225904,246.46176,4.863742
5,Baseline,68,16.5,6792.2,16.0,61.0,23.0,0.0,77.64071,37085.043,7.6860933,251.92108,5.459323
5,Baseline,69,17.0,5409.467,21.0,91.0,23.0,0.0,77.6539,37520.246,7.766134,255.61217,3.6910844
5,Baseline,70,16.5,6791.0,13.0,66.0,23.0,0.0,77.75104,38395.152,7.748083,262.9205,7.3083344
5,Baseline,71,17.0,3258.6,13.0,16.0,23.0,37.0,77.647865,37026.492,7.6860933,265.9435,3.0230103
5,Baseline,72,17.0,7138.9,23.0,76.0,23.0,0.0,77.90927,39058.164,7.730162,272.371,6.4275002
5,Baseline,73,17.0,5749.967,10.0,61.0,23.0,0.0,77.99119,39611.598,7.730162,275.58127,3.2102754
5,Baseline,74,17.5,4573.8667,26.0,66.0,23.0,75.0,77.868835,39347.53,7.748083,279.78668,4.2054224
5,Baseline,75,17.0,3353.9333,28.0,26.0,23.0,14.0,78.07276,38084.645,7.730162,280.60355,0.8168753
5,Baseline,76,16.5,2554.7666,11.0,71.0,23.0,0.0,77.93718,36225.97,7.650121,285.0115,4.407945
5,Baseline,77,17.0,2111.3333,28.0,71.0,23.0,25.0,78.16739,34276.41,7.545319,291.14966,6.1381536
5,Baseline,78,16.5,1458.4333,15.0,41.0,23.0,14.0,77.8327,32043.598,7.5810337,295.41064,4.2610016
5,Baseline,79,15.5,3920.3,15.0,6.0,23.0,0.0,77.2652,31902.277,7.6355815,300.00595,4.595309
5,Baseline,80,16.5,3830.8333,19.0,71.0,23.0,0.0,77.233376,31753.33,7.6355815,301.21594,1.209993
5,Baseline,81,17.0,5427.967,10.0,11.0,23.0,106.0,77.3562,32661.09,7.617266,305.87924,4.663299
5,Baseline,82,16.5,4308.4,25.0,31.0,23.0,25.0,77.47084,32882.555,7.617266,310.30154,4.422301
5,Baseline,83,17.0,5330.033,19.0,31.0,23.0,17.0,77.46629,33903.527,7.617266,316.77066,6.469108
5,Baseline,84,17.0,3412.2334,26.0,41.0,23.0,0.0,77.18902,33271.227,7.6355815,322.72455,5.9538817
5,Baseline,85,17.0,4327.567,15.0,26.0,23.0,0.0,76.92199,33256.023,7.6540318,326.9053,4.180748
5,Baseline,86,17.0,3314.1,21.0,46.0,23.0,0.0,77.00687,32624.502,7.6540318,330.7405,3.8352013
5,Baseline,87,16.5,3681.2,19.0,81.0,23.0,20.0,77.049934,32318.21,7.6540318,339.17892,8.438427
5,Baseline,88,17.0,3630.1333,25.0,36.0,23.0,23.0,77.16733,32026.176,7.6355815,344.76724,5.5883203
5,Baseline,89,17.0,4099.5,10.0,106.0,23.0,0.0,76.870415,32073.559,7.6726193,351.9815,7.214275
5,Baseline,90,17.0,3907.7334,24.0,66.0,23.0,0.0,76.97594,31951.242,7.6540318,357.7434,5.7619057
5,Baseline,91,17.0,5199.567,20.0,46.0,23.0,93.0,77.11692,32728.973,7.6355815,363.5334,5.789989
5,Baseline,92,17.0,4759.467,16.0,31.0,23.0,0.0,77.1579,33315.516,7.6355815,370.18362,6.6502366
5,Baseline,93,17.0,5543.2334,20.0,81.0,23.0,0.0,77.1104,34478.76,7.6355815,374.12567,3.9420352
5,Baseline,94,17.0,4213.3,15.0,96.0,23.0,0.0,76.9941,34422.594,7.6540318,380.74643,6.6207657
5,Baseline,95,16.0,5176.8335,11.0,66.0,23.0,0.0,76.896286,35008.12,7.759628,386.33356,5.587128
5,Baseline,96,17.0,5079.7334,14.0,66.0,23.0,0.0,76.85027,35548.535,7.759628,391.89066,5.5571065
5,Baseline,97,16.5,3787.5334,24.0,66.0,23.0,0.0,76.87346,34995.254,7.759628,395.40497,3.5143063
5,Baseline,98,16.5,4513.7666,14.0,46.0,23.0,94.0,76.98768,35097.168,7.7410407,399.95374,4.54878
5,Baseline,99,17.0,4750.5,12.0,26.0,23.0,0.0,76.738174,35433.64,7.759628,405.13824,5.184508
5,Baseline,100,17.0,3951.7,10.0,66.0,23.0,0.0,76.94926,35055.77,7.7410407,413.5822,8.44398
5,Baseline,101,17.0,4997.1,20.0,51.0,23.0,0.0,77.03441,35536.457,7.7410407,418.5193,4.9370713
5,Baseline,102,16.5,6934.067,28.0,66.0,23.0,105.0,77.148094,37269.37,7.7225904,422.62772,4.1084146
5,Baseline,103,17.0,3476.3667,25.0,66.0,23.0,0.0,77.33402,36127.184,7.704275,429.61026,6.982543
5,Baseline,104,16.5,2656.5667,21.0,66.0,23.0,10.0,77.50396,34378.676,7.5990844,434.53702,4.9267507
5,Baseline,105,17.0,5644.1,10.0,36.0,23.0,0.0,77.32466,35017.08,7.704275,442.3145,7.777507
5,Baseline,106,17.0,4541.9,17.0,46.0,23.0,0.0,77.22465,35189.688,7.7225904,447.42947,5.1149454
5,Baseline,107,16.5,4262.1,15.0,101.0,23.0,0.0,76.848755,35118.613,7.759628,452.17377,4.744303
5,Baseline,108,17.0,3395.9666,9.0,11.0,23.0,0.0,76.85609,34250.03,7.6726193,457.949,5.77523
