seed,legend,step,snr,demand,action_mcs,action_prb,mcs,prb,pwr,tbs,reward,cum_regret,avg_regret
0,Baseline,0,18.0,5068.35,28.0,106.0,23.0,0.0,77.175224,41010.4,1.4462063,6.044067,6.044067
0,Baseline,1,17.5,2414.05,19.0,96.0,23.0,26.0,75.13598,18758.8,2.257672,10.552588,4.5085216
0,Baseline,2,18.5,2269.25,14.0,36.0,23.0,0.0,72.118484,18416.4,2.2993662,14.670242,4.1176543
0,Baseline,3,17.5,2101.5,24.0,26.0,23.0,0.0,74.83846,17112.8,2.3582864,24.166348,9.496106
0,Baseline,4,17.5,3064.0,22.0,36.0,23.0,24.0,75.80165,24819.6,1.9694635,30.292885,6.1265383
0,Baseline,5,18.0,2666.3,20.0,31.0,23.0,0.0,74.84593,21526.8,2.128135,35.040802,4.747917
0,Baseline,6,17.5,3444.35,19.0,61.0,23.0,0.0,77.942474,25506.8,1.9397719,40.680534,5.6397305
0,Baseline,7,17.0,2863.9,26.0,61.0,23.0,0.0,74.80421,23053.6,2.0593777,44.39372,3.7131834
0,Baseline,8,17.5,3226.6,11.0,91.0,23.0,24.0,77.83953,26048.4,1.9066755,51.121284,6.7275677
0,Baseline,9,17.5,2227.7,24.0,96.0,23.0,0.0,74.12681,18046.4,2.3056812,56.59701,5.475726
0,Baseline,10,17.5,3391.05,12.0,76.0,23.0,22.0,74.04612,27578.0,1.8768986,62.184235,5.587223
0,Baseline,11,18.0,2792.95,12.0,76.0,23.0,0.0,75.17326,22604.4,2.0639741,66.60967,4.4254375
0,Baseline,12,18.0,3219.35,12.0,61.0,23.0,0.0,76.88141,26046.8,1.9208834,71.242035,4.6323633
0,Baseline,13,18.0,2781.1,9.0,91.0,23.0,7.0,74.379906,22514.0,2.0825047,78.53106,7.2890267
0,Baseline,14,18.0,4878.8,26.0,66.0,23.0,6.0,78.25783,39306.0,1.4899112,83.23043,4.6993685
0,Baseline,15,18.5,4805.9,26.0,56.0,23.0,0.0,76.71285,38881.2,1.5149311,87.6606,4.4301653
0,Baseline,16,17.5,4710.0,22.0,106.0,23.0,0.0,74.749054,37972.4,1.5539509,95.158165,7.4975686
0,Baseline,17,18.0,4593.95,18.0,41.0,23.0,0.0,75.457855,36928.4,1.5680678,100.21706,5.05889
0,Baseline,18,18.5,3667.45,24.0,21.0,23.0,0.0,74.59087,29581.2,1.8070823,104.99781,4.780754
0,Baseline,19,23.0,4517.2,27.0,91.0,23.0,0.0,72.964645,36498.8,1.6085278,112.68233,7.6845136
0,Baseline,20,18.0,5117.25,11.0,76.0,24.0,94.0,76.86309,39370.4,1.5086925,123.55111,10.868782
0,Baseline,21,18.0,4425.05,27.0,21.0,24.0,0.0,77.5501,36005.2,1.5777594,129.71887,6.1677613
0,Baseline,22,17.5,3299.9,23.0,46.0,25.0,0.0,77.00059,23266.8,2.039983,133.76967,4.0507913
0,Baseline,23,17.0,6692.65,27.0,106.0,25.0,0.0,78.265396,49028.0,1.2769746,138.43466,4.664989
0,Baseline,24,18.0,7078.3,21.0,41.0,25.0,0.0,78.91703,46740.4,1.3408835,146.74501,8.31035
0,Baseline,25,18.0,7792.8,11.0,46.0,25.0,104.0,77.62069,46921.6,1.3519876,152.11565,5.3706408
0,Baseline,26,17.0,6823.05,18.0,86.0,25.0,0.0,77.49607,49892.0,1.2593225,157.12758,5.011926
0,Baseline,27,18.0,5158.75,9.0,36.0,25.0,0.0,78.29973,39478.4,1.4921845,167.36134,10.233769
0,Baseline,28,17.5,6463.35,25.0,106.0,25.0,0.0,79.554924,45108.4,1.3546194,173.88416,6.5228043
0,Baseline,29,18.0,8494.0,17.0,11.0,25.0,0.0,77.17383,54150.0,1.1952996,179.12857,5.2444096
0,Baseline,30,17.5,9728.35,10.0,21.0,25.0,0.0,76.552345,56612.4,1.1789715,184.93962,5.8110576
0,Baseline,31,17.5,6339.05,26.0,26.0,25.0,0.0,79.17791,48528.4,1.2673221,190.13914,5.199517
0,Baseline,32,17.5,3803.4,17.0,16.0,25.0,0.0,79.201706,27892.0,1.8364047,193.75389,3.614751
0,Baseline,33,18.0,5534.25,22.0,96.0,25.0,0.0,78.67269,39613.2,1.4979299,199.45094,5.6970496
0,Baseline,34,18.0,5413.65,25.0,86.0,25.0,0.0,77.78934,38671.2,1.5227549,207.32394,7.872994
0,Baseline,35,18.0,4925.85,28.0,81.0,25.0,29.0,74.976814,37798.0,1.5650139,213.3201,5.996147
0,Baseline,36,18.0,7353.35,14.0,86.0,25.0,104.0,76.77437,56765.6,1.1345866,218.64882,5.3287272
0,Baseline,37,18.0,6997.1,22.0,26.0,25.0,0.0,77.32917,53405.6,1.1840638,223.3558,4.7069926
0,Baseline,38,18.0,6613.15,21.0,36.0,25.0,0.0,80.54045,47077.2,1.3081388,228.31377,4.957965
0,Baseline,39,18.0,6030.0,13.0,41.0,24.0,29.0,77.85722,48510.0,1.2758368,235.9514,7.6376305
0,Baseline,40,18.0,4212.5,24.0,6.0,24.0,0.0,77.6198,33601.2,1.650449,241.64386,5.6924567
0,Baseline,41,17.5,2347.7,19.0,51.0,24.0,0.0,76.1669,19106.0,2.232879,245.70439,4.0605264
0,Baseline,42,18.0,2852.3,16.0,66.0,24.0,0.0,75.58915,23042.0,2.0448725,250.58916,4.884769
