seed,legend,step,snr,demand,action_mcs,action_prb,mcs,prb,pwr,tbs,reward,cum_regret,avg_regret
0,Baseline,0,13.5,2417.2,28.0,106.0,19.0,0.0,80.59561,19084.268,6.7350135,3.2294385,3.2294385
0,Baseline,1,14.0,2551.3667,9.0,86.0,19.0,0.0,80.50479,18985.494,6.7350135,5.775414,2.5459754
0,Baseline,2,14.0,2220.1667,19.0,46.0,19.0,105.0,79.90704,18800.33,6.7845197,8.872633,3.0972188
0,Baseline,3,13.5,3304.0667,24.0,26.0,19.0,0.0,79.78693,19553.738,6.955385,10.327834,1.4552013
0,Baseline,4,13.5,3797.9666,24.0,21.0,19.0,94.0,79.68211,20427.217,6.97222,11.6118965,1.2840627
0,Baseline,5,14.0,3385.3,14.0,66.0,19.0,0.0,79.668945,20736.895,6.97222,11.98538,0.37348396
0,Baseline,6,14.0,3040.6333,9.0,36.0,19.0,0.0,79.8465,21061.766,6.955385,13.9355,1.9501201
0,Baseline,7,13.5,2403.0,14.0,101.0,19.0,10.0,79.493706,20848.176,6.989169,14.386578,0.45107725
0,Baseline,8,13.5,2456.1333,19.0,46.0,19.0,106.0,79.20851,20619.225,7.006234,15.6016035,1.2150258
0,Baseline,9,14.0,2147.3667,23.0,16.0,19.0,0.0,79.06907,20237.568,7.0234165,16.941618,1.3400136
0,Baseline,10,14.0,3251.4666,18.0,71.0,19.0,0.0,79.0008,20562.133,7.0234165,19.144405,2.2027864
0,Baseline,11,14.0,2841.3333,17.0,61.0,19.0,9.0,78.72158,20769.092,7.0407176,22.16125,3.0168443
0,Baseline,12,14.0,3440.1,10.0,36.0,19.0,8.0,79.03074,21220.344,7.0234165,23.648035,1.486786
0,Baseline,13,14.0,3647.7,13.0,101.0,19.0,0.0,78.80118,21545.775,7.0407176,26.623156,2.97512
0,Baseline,14,14.0,4684.9,9.0,66.0,19.0,105.0,79.11217,23098.584,7.1397595,29.70642,3.0832646
0,Baseline,15,13.0,3114.2334,24.0,66.0,19.0,105.0,79.047424,23219.953,7.156942,30.122122,0.4157014
0,Baseline,16,13.0,2572.0667,14.0,91.0,19.0,0.0,79.0267,22869.531,7.156942,32.57399,2.4518666
0,Baseline,17,13.5,2299.6667,13.0,26.0,19.0,0.0,78.94301,22216.924,7.0234165,32.90282,0.32882938
0,Baseline,18,13.5,3494.3,15.0,101.0,19.0,92.0,79.340256,22812.406,7.122695,34.062794,1.1599734
0,Baseline,19,14.0,5125.8,9.0,91.0,19.0,0.0,79.4321,24455.271,7.122695,34.41424,0.35144827
0,Baseline,20,14.0,4338.8335,27.0,41.0,19.0,0.0,78.97209,24919.318,7.156942,35.904613,1.4903731
0,Baseline,21,13.5,3172.6,22.0,46.0,19.0,0.0,78.89416,24987.172,7.174243,36.99362,1.0890083
0,Baseline,22,14.0,4558.1,25.0,31.0,19.0,78.0,78.675476,25566.27,7.309443,38.603855,1.6102346
0,Baseline,23,14.0,3067.1,16.0,81.0,19.0,71.0,78.44043,25297.215,7.2092085,38.975163,0.37130916
0,Baseline,24,14.0,3277.5,28.0,86.0,20.0,0.0,78.21046,25050.32,7.2268767,42.135506,3.160342
