seed,legend,step,snr,demand,action_mcs,action_prb,mcs,prb,pwr,tbs,reward,cum_regret,avg_regret
2,Baseline,0,10.0,6764.0,28.0,106.0,15.0,0.0,82.09618,31540.8,1.7838792,3.8275287,3.8275287
2,Baseline,1,10.0,4892.7,26.0,56.0,15.0,106.0,81.71779,27024.8,1.9031793,7.511015,3.683486
2,Baseline,2,10.0,4312.45,20.0,46.0,15.0,106.0,79.981926,24302.0,2.0210316,10.747705,3.2366903
2,Baseline,3,10.0,4922.85,9.0,86.0,15.0,106.0,82.26679,30140.4,1.7724988,14.755483,4.007777
2,Baseline,4,10.0,4874.4,23.0,11.0,15.0,106.0,80.4792,30446.8,1.7729565,17.674976,2.919494
2,Baseline,5,9.5,4614.95,18.0,51.0,15.0,104.0,78.2901,31414.4,1.741311,21.333742,3.658766
2,Baseline,6,10.0,4578.95,17.0,106.0,15.0,106.0,82.1821,25751.6,1.9484514,25.878748,4.545006
2,Baseline,7,10.0,5450.4,28.0,91.0,15.0,0.0,81.17166,30264.8,1.7868983,30.10364,4.224892
2,Baseline,8,10.0,4973.1,14.0,76.0,15.0,0.0,78.631454,26634.0,1.9529887,33.331093,3.227453
2,Baseline,9,10.5,7854.6,23.0,96.0,15.0,106.0,81.020584,30006.8,1.8921465,36.461918,3.130824
2,Baseline,10,10.0,5634.75,10.0,76.0,15.0,92.0,78.445656,27164.4,1.9567226,43.75956,7.2976403
2,Baseline,11,10.0,6131.9,22.0,21.0,15.0,0.0,78.41815,31440.4,1.7934027,47.30501,3.5454526
2,Baseline,12,9.5,7077.85,20.0,41.0,15.0,50.0,84.09536,22254.0,2.2588148,50.75074,3.4457273
2,Baseline,13,10.0,5574.8,16.0,41.0,15.0,0.0,80.209625,27030.0,1.9460789,53.942284,3.1915452
2,Baseline,14,10.0,7188.5,28.0,106.0,15.0,0.0,79.42074,29978.8,1.8802205,57.697968,3.7556827
2,Baseline,15,10.0,4661.6,22.0,41.0,15.0,0.0,79.92809,24903.2,2.0074658,60.464794,2.766827
2,Baseline,16,10.0,5692.95,26.0,36.0,15.0,14.0,78.74615,26937.6,1.9699851,63.263325,2.798531
2,Baseline,17,9.5,2984.55,10.0,56.0,15.0,10.0,76.64609,23557.2,2.0257332,67.91905,4.655725
2,Baseline,18,10.0,5022.65,16.0,41.0,15.0,0.0,79.537865,29855.2,1.8017427,73.90047,5.9814157
2,Baseline,19,9.5,6875.0,18.0,106.0,15.0,106.0,78.333336,31259.2,1.8280611,78.882484,4.9820175
2,Baseline,20,10.0,9875.5,26.0,96.0,15.0,106.0,82.013794,29092.4,2.0274377,84.13736,5.254872
2,Baseline,21,9.5,5114.3,22.0,31.0,15.0,106.0,80.536804,28474.4,1.8627014,87.349075,3.2117186
2,Baseline,22,10.0,7037.6,17.0,31.0,15.0,18.0,79.191025,27017.6,2.0123668,91.76759,4.4185166
2,Baseline,23,9.5,8461.6,10.0,106.0,15.0,65.0,83.6107,32462.8,1.7957994,94.92011,3.1525164
