seed,legend,step,snr,demand,action_mcs,action_prb,mcs,prb,pwr,tbs,reward,cum_regret,avg_regret
0,Baseline,0,10.0,4413.6,28.0,106.0,15.0,0.0,80.228584,31720.4,1.7089123,8.436666,8.436666
0,Baseline,1,9.5,3956.1,25.0,16.0,15.0,106.0,79.76989,22140.8,2.117073,18.496056,10.05939
0,Baseline,2,10.0,6124.95,11.0,51.0,15.0,0.0,77.48736,32566.0,1.7497034,29.090717,10.594663
0,Baseline,3,10.0,6951.6,18.0,61.0,15.0,106.0,79.02104,21565.2,2.3254838,36.735455,7.6447387
0,Baseline,4,9.5,5025.55,11.0,86.0,15.0,0.0,79.77699,25076.4,2.0156171,43.34774,6.6122837
0,Baseline,5,10.0,6758.05,13.0,76.0,15.0,106.0,80.43365,28762.4,1.916917,53.680977,10.333236
0,Baseline,6,10.0,5950.6,15.0,71.0,15.0,94.0,77.40085,29640.8,1.8601669,66.58491,12.903929
0,Baseline,7,9.5,4298.1,20.0,31.0,15.0,0.0,78.09935,26325.6,1.9385177,80.48122,13.896309
0,Baseline,8,10.0,4651.05,21.0,96.0,15.0,0.0,79.83336,29616.0,1.7977017,89.419876,8.938659
0,Baseline,9,10.0,7805.8,14.0,51.0,15.0,106.0,81.26488,27976.0,1.9860917,97.82104,8.401164
0,Baseline,10,10.0,5642.4,27.0,56.0,15.0,0.0,78.13012,33078.0,1.7143662,106.98737,9.166335
0,Baseline,11,10.0,5670.55,9.0,26.0,15.0,0.0,79.637596,30560.8,1.7972509,116.04385,9.056482
0,Baseline,12,10.0,9194.25,18.0,96.0,15.0,0.0,77.16289,31809.6,1.8954762,126.420135,10.376281
0,Baseline,13,10.0,5031.2,19.0,96.0,15.0,106.0,77.91649,28847.2,1.8578632,137.2266,10.806461
0,Baseline,14,10.0,5285.1,26.0,81.0,15.0,106.0,78.79447,30996.8,1.7805179,150.26086,13.034269
0,Baseline,15,10.0,5047.45,23.0,76.0,15.0,101.0,76.2406,30048.8,1.8236966,160.93073,10.669855
0,Baseline,16,9.5,5176.0,9.0,71.0,15.0,0.0,79.35588,28064.0,1.8827374,171.84117,10.91045
0,Baseline,17,10.0,4482.6,10.0,11.0,15.0,0.0,80.3809,24262.8,2.0310128,181.22186,9.380689
0,Baseline,18,10.0,6625.25,26.0,26.0,15.0,106.0,82.621185,24528.8,2.1092515,190.69035,9.468497
0,Baseline,19,10.0,5891.9,24.0,51.0,15.0,106.0,82.98238,29660.8,1.8283855,205.11723,14.426875
0,Baseline,20,10.0,6479.25,16.0,81.0,15.0,0.0,77.560356,22895.2,2.225082,217.28436,12.1671295
0,Baseline,21,10.0,6166.35,26.0,86.0,15.0,104.0,83.464935,31130.4,1.7641897,229.52278,12.238421
0,Baseline,22,10.0,4672.95,13.0,6.0,15.0,106.0,77.85836,24443.6,2.0453067,238.92963,9.406841
0,Baseline,23,10.5,5442.15,22.0,96.0,15.0,0.0,81.9596,29669.2,1.8107876,250.50258,11.57295
0,Baseline,24,9.0,5519.8,20.0,26.0,15.0,106.0,80.30103,28796.0,1.8648008,259.6513,9.148726
0,Baseline,25,10.0,5111.8,16.0,51.0,15.0,0.0,80.48927,28859.2,1.8461528,268.2376,8.586305
0,Baseline,26,11.5,5865.0,13.0,86.0,15.0,106.0,78.347336,30063.2,1.8391614,280.12534,11.88773
0,Baseline,27,9.5,6806.1,10.0,76.0,15.0,7.0,80.19359,28184.4,1.9455242,289.37964,9.25431
0,Baseline,28,10.0,8585.5,22.0,61.0,15.0,0.0,78.950294,31670.8,1.8769544,300.17703,10.797387
0,Baseline,29,10.0,6002.8,28.0,61.0,15.0,0.0,79.91103,27514.0,1.9421072,311.3003,11.123259
0,Baseline,30,10.0,5828.65,21.0,51.0,15.0,0.0,79.086784,28692.4,1.8816968,323.1036,11.80332
0,Baseline,31,10.0,4692.95,18.0,51.0,15.0,0.0,79.287,31542.4,1.7248086,332.41498,9.311362
0,Baseline,32,9.0,5597.55,19.0,31.0,15.0,0.0,80.90791,31030.0,1.7760328,344.43454,12.01956
0,Baseline,33,10.0,4979.9,24.0,51.0,15.0,0.0,80.26275,31556.0,1.7340525,358.25848,13.823937
0,Baseline,34,9.5,6480.75,25.0,21.0,15.0,104.0,81.92317,32054.8,1.753151,369.00262,10.744153
0,Baseline,35,10.0,6635.95,25.0,46.0,15.0,0.0,78.88926,29867.2,1.8772761,379.38553,10.382916
