algo,index,Power (Watt)
Baseline,0,82.03
Baseline,1,84.15
Baseline,2,83.65
Baseline,3,82.12
Baseline,4,82.88
Baseline,5,83.2
Baseline,6,81.59
Baseline,7,83.26
Baseline,8,83.37
Baseline,9,82.88
Baseline,10,83.2
Baseline,11,83
Baseline,12,82.99
Baseline,13,83.69
Baseline,14,83.53
Baseline,15,82.77
Baseline,16,82.86
Baseline,17,82.97
Baseline,18,83.05
Baseline,19,82.48
Baseline,20,83.19
Baseline,21,83.68
Baseline,22,82.91
Baseline,23,83.57
Baseline,24,82.33
Baseline,25,83.8
Baseline,26,83.89
Baseline,27,83.82
Baseline,28,82.59
Baseline,29,83.68
Baseline,30,82.62
Baseline,31,76.31
Baseline,32,75.92
Baseline,33,75.77
Baseline,34,77.49
Baseline,35,76.41
Baseline,36,77.83
Baseline,37,76.92
Baseline,38,76.19
Baseline,39,75.7
Baseline,40,78.53
Baseline,41,77.31
Baseline,42,78.2
Baseline,43,79.1
Baseline,44,79.6
Baseline,45,78.41
Baseline,46,78.64
Baseline,47,79.79
Baseline,48,77.84
Baseline,49,80.39
Baseline,50,79.64
Baseline,51,80.54
Baseline,52,77
Baseline,53,79.63
Baseline,54,78.96
Baseline,55,78.03
Baseline,56,76.59
Baseline,57,76.89
Baseline,58,77.84
Baseline,59,79.37
Baseline,60,145.69
Baseline,61,81.4
Baseline,62,80.82
Baseline,63,79.91
Baseline,64,80.41
Baseline,65,80.26
Baseline,66,79.88
Baseline,67,80.14
Baseline,68,80.41
Baseline,69,79.84
Baseline,70,80.07
Baseline,71,81.35
Baseline,72,80.61
Baseline,73,82.36
Baseline,74,79.9
Baseline,75,82.18
Baseline,76,83.9
Baseline,77,112.78
Baseline,78,98.28
Baseline,79,83.26
Baseline,80,82.6
Baseline,81,78.9
Baseline,82,79.14
Baseline,83,79.03
Baseline,84,77.5
Baseline,85,77.44
Baseline,86,79.58
Baseline,87,80.01
Baseline,88,79.19
Baseline,89,78.39
Baseline,90,77.57
Baseline,91,78.32
Baseline,92,77.37
Baseline,93,78.66
Baseline,94,78.51
Baseline,95,77.57
Baseline,96,78.24
Baseline,97,77.25
Baseline,98,78.51
Baseline,99,80.81
Baseline,100,80.04
Baseline,101,80.8
Baseline,102,79.58
Baseline,103,80.3
Baseline,104,79.43
Baseline,105,81.36
Baseline,106,80.15
Baseline,107,77.93
