algo,index,Power (Watt)
VITS,0,83.69
VITS,1,83.72
VITS,2,81.99
VITS,3,82.56
VITS,4,83.97
VITS,5,83.45
VITS,6,84.18
VITS,7,83.29
VITS,8,82.89
VITS,9,83.6
VITS,10,83.45
VITS,11,83.17
VITS,12,82.85
VITS,13,82.14
VITS,14,83.83
VITS,15,82.2
VITS,16,83.84
VITS,17,84.49
VITS,18,82.8
VITS,19,83.42
VITS,20,83.32
VITS,21,83.23
VITS,22,83.61
VITS,23,82.84
VITS,24,82.48
VITS,25,83.39
VITS,26,83.95
VITS,27,82.54
VITS,28,82.91
VITS,29,83.02
VITS,30,83.14
VITS,31,76.27
VITS,32,75.88
VITS,33,77.41
VITS,34,77.1
VITS,35,75.02
VITS,36,77.8
VITS,37,76.28
VITS,38,78.62
VITS,39,78.58
VITS,40,76.93
VITS,41,77.94
VITS,42,77.65
VITS,43,78.23
VITS,44,76.39
VITS,45,79.15
VITS,46,79.08
VITS,47,81.23
VITS,48,78.38
VITS,49,79.58
VITS,50,81.16
VITS,51,81.17
VITS,52,78.09
VITS,53,78.54
VITS,54,78.94
VITS,55,76.95
VITS,56,76.92
VITS,57,77.16
VITS,58,74.44
VITS,59,77.16
VITS,60,76.57
VITS,61,75.74
VITS,62,76.48
VITS,63,76.45
VITS,64,77.22
VITS,65,77.74
VITS,66,75.53
VITS,67,76.88
VITS,68,76.12
VITS,69,76.35
VITS,70,78.4
VITS,71,139.39
VITS,72,89.18
VITS,73,81.78
VITS,74,81.4
VITS,75,80.73
VITS,76,82.09
VITS,77,81.89
VITS,78,81.31
VITS,79,83.35
VITS,80,82.18
VITS,81,83.53
VITS,82,82.08
VITS,83,83.8
VITS,84,81.02
VITS,85,80.9
VITS,86,80.71
VITS,87,81.77
VITS,88,120.76
VITS,89,88.34
VITS,90,81.33
VITS,91,81.29
VITS,92,78.94
VITS,93,79.61
VITS,94,78.53
VITS,95,77.72
VITS,96,78.84
VITS,97,77.66
VITS,98,76.16
VITS,99,77.46
VITS,100,78.71
VITS,101,79.65
VITS,102,80.83
VITS,103,81.53
VITS,104,81.23
VITS,105,79.2
VITS,106,78.57
VITS,107,80.04
VITS,108,79.7
VITS,109,77.79
VITS,110,79.09
VITS,111,79.47
VITS,112,79.93
VITS,113,78.58
VITS,114,76.14
VITS,115,76.73
VITS,116,74.75
VITS,117,78.26
VITS,118,76.82
VITS,119,77.54
VITS,120,76.38
VITS,121,75.44
VITS,122,76.72
VITS,123,75.65
VITS,124,75.09
VITS,125,76.87
VITS,126,75.88
VITS,127,75.62
VITS,128,77.86
VITS,129,77.2
VITS,130,77.15
VITS,131,76.29
VITS,132,76.47
VITS,133,77.02
VITS,134,77.58
VITS,135,75.42
VITS,136,76.2
VITS,137,76.31
VITS,138,76.34
VITS,139,77.04
VITS,140,78.66
VITS,141,76.72
VITS,142,77.19
VITS,143,74.28
VITS,144,76.12
VITS,145,75.03
VITS,146,76.48
VITS,147,76.94
VITS,148,77.78
VITS,149,76.98
VITS,150,78.45
VITS,151,75.57
VITS,152,76.24
VITS,153,76.09
VITS,154,76.79
VITS,155,74.48
VITS,156,74.93
VITS,157,76.44
VITS,158,76.36
VITS,159,78.06
VITS,160,77.97
VITS,161,76.27
VITS,162,76.77
VITS,163,78.18
VITS,164,76.68
VITS,165,76.76
VITS,166,76.15
VITS,167,76.58
VITS,168,77.16
VITS,169,75.65
VITS,170,76.63
VITS,171,76.61
VITS,172,75.87
VITS,173,75.92
VITS,174,76.27
VITS,175,75.32
VITS,176,77.73
VITS,177,75.81
VITS,178,77.51
VITS,179,77.86
VITS,180,75.06
VITS,181,75.48
VITS,182,78.42
VITS,183,76.27
VITS,184,75.73
VITS,185,76.15
VITS,186,78.14
VITS,187,76.43
VITS,188,76.81
VITS,189,76.09
VITS,190,75.82
VITS,191,77.29
VITS,192,77.58
VITS,193,75.81
VITS,194,77.27
VITS,195,76.14
VITS,196,77.72
VITS,197,75.87
VITS,198,76.75
VITS,199,75.96
VITS,200,76.9
VITS,201,76.68
VITS,202,77.91
VITS,203,76.96
VITS,204,76.35
VITS,205,74.66
VITS,206,76.78
VITS,207,76.85
VITS,208,77.3
VITS,209,76.06
VITS,210,75.5
VITS,211,76.69
VITS,212,75.94
VITS,213,75.76
VITS,214,76.12
VITS,215,76.19
VITS,216,77.67
VITS,217,76.48
VITS,218,76.02
VITS,219,76.72
VITS,220,76.04
VITS,221,79.72
VITS,222,76.26
VITS,223,76.89
VITS,224,76.04
VITS,225,77.24
VITS,226,76.68
VITS,227,76.35
VITS,228,75.34
VITS,229,77.89
VITS,230,77.36
VITS,231,76.13
VITS,232,76.93
VITS,233,76.56
VITS,234,75.27
VITS,235,77.04
VITS,236,76.67
VITS,237,77.96
VITS,238,77.79
VITS,239,75.85
VITS,240,77.21
VITS,241,77.09
VITS,242,76.22
VITS,243,78.27
VITS,244,75.62
VITS,245,77.54
VITS,246,75.34
VITS,247,76.88
VITS,248,77.54
VITS,249,75.54
VITS,250,75.41
VITS,251,77.24
VITS,252,75.61
VITS,253,78.08
VITS,254,75.99
VITS,255,78.07
VITS,256,76.23
VITS,257,76.79
VITS,258,75.54
VITS,259,76.39
VITS,260,76.89
VITS,261,76
VITS,262,75.93
VITS,263,75.85
VITS,264,76.9
VITS,265,76.89
VITS,266,77.24
VITS,267,76.63
VITS,268,77.13
VITS,269,75.91
VITS,270,76.67
VITS,271,78.08
VITS,272,76.27
VITS,273,77.3
VITS,274,76.89
VITS,275,75.47
VITS,276,76.4
VITS,277,76.37
VITS,278,77.49
VITS,279,76.85
VITS,280,76.54
VITS,281,76.89
VITS,282,76.29
VITS,283,76.77
VITS,284,77.21
VITS,285,76.79
VITS,286,76.56
VITS,287,75.87
VITS,288,77.79
VITS,289,75.32
VITS,290,76.29
VITS,291,76.82
VITS,292,76.51
VITS,293,77.97
VITS,294,75.72
VITS,295,76.45
VITS,296,77.1
VITS,297,77.59
VITS,298,74.57
VITS,299,76.71
VITS,300,77.21
VITS,301,78.03
VITS,302,76.96
VITS,303,76.27
VITS,304,77.49
VITS,305,76.4
VITS,306,76.28
VITS,307,77.12
VITS,308,76.77
VITS,309,75.44
VITS,310,77.25
VITS,311,75.75
VITS,312,77.19
VITS,313,78.07
VITS,314,76.28
VITS,315,75.86
VITS,316,77.73
VITS,317,77.58
VITS,318,76.02
VITS,319,77.39
VITS,320,75.28
VITS,321,76.73
VITS,322,77.14
VITS,323,77.49
VITS,324,76.35
VITS,325,75.76
VITS,326,76.86
VITS,327,75.84
VITS,328,76.65
VITS,329,77.61
VITS,330,77.26
VITS,331,77.04
VITS,332,76.85
VITS,333,77.11
VITS,334,74.84
VITS,335,76.8
VITS,336,76.4
VITS,337,76.22
VITS,338,74.23
VITS,339,78.39
VITS,340,77.75
VITS,341,75.69
VITS,342,76.75
VITS,343,76.17
VITS,344,76.87
VITS,345,77.79
VITS,346,74.63
VITS,347,75.7
VITS,348,77.25
VITS,349,76.85
VITS,350,75.85
VITS,351,77.18
VITS,352,78.54
VITS,353,77.11
VITS,354,76.04
VITS,355,78.16
VITS,356,75.73
VITS,357,77.4
VITS,358,77.12
VITS,359,76.71
VITS,360,77.29
VITS,361,74.98
VITS,362,77.97
VITS,363,78.94
VITS,364,76.71
VITS,365,77.48
VITS,366,76.52
VITS,367,76.56
VITS,368,75.54
VITS,369,76.15
VITS,370,77.64
VITS,371,75.93
VITS,372,78.52
VITS,373,77.2
VITS,374,78.76
VITS,375,76.64
VITS,376,77.23
VITS,377,77.71
VITS,378,76.99
VITS,379,76.97
VITS,380,77.1
VITS,381,77.82
VITS,382,78.08
VITS,383,77.24
VITS,384,75.66
VITS,385,78.05
VITS,386,77.53
VITS,387,76.67
VITS,388,77.54
VITS,389,75.9
VITS,390,77.92
VITS,391,77.26
VITS,392,77.03
VITS,393,76.76
VITS,394,77.82
VITS,395,77.35
VITS,396,76.6
VITS,397,77.42
VITS,398,76.7
VITS,399,78.02
VITS,400,77.24
VITS,401,76.43
VITS,402,77.37
VITS,403,77.8
VITS,404,76.43
VITS,405,78.21
VITS,406,78.85
VITS,407,78.25
VITS,408,76.9
VITS,409,76.71
VITS,410,77.25
VITS,411,77.49
VITS,412,77.68
VITS,413,77.21
VITS,414,76.42
VITS,415,76.15
VITS,416,76.92
VITS,417,78.3
VITS,418,77.27
VITS,419,76.77
VITS,420,77.64
VITS,421,76.18
VITS,422,77.8
VITS,423,78.76
VITS,424,75.4
VITS,425,77.31
VITS,426,77.72
VITS,427,77.68
VITS,428,78.61
VITS,429,78.1
VITS,430,78.06
VITS,431,78.15
VITS,432,76.27
VITS,433,77.47
VITS,434,77.4
VITS,435,77.49
VITS,436,79.01
VITS,437,77.24
VITS,438,76.19
VITS,439,76.86
VITS,440,77.09
VITS,441,77.54
VITS,442,76.23
VITS,443,77.61
VITS,444,76.57
VITS,445,78.17
VITS,446,76.7
VITS,447,76.47
VITS,448,77.63
VITS,449,76.83
VITS,450,78.76
VITS,451,75.63
VITS,452,76.94
VITS,453,77.58
VITS,454,77.68
VITS,455,76.63
VITS,456,76.14
VITS,457,76.68
VITS,458,75.71
VITS,459,78.71
VITS,460,79.22
VITS,461,76.77
VITS,462,77.92
VITS,463,78.31
VITS,464,76.48
VITS,465,76.84
VITS,466,76.65
VITS,467,76.6
VITS,468,77.35
VITS,469,78.03
VITS,470,76.44
VITS,471,77.52
VITS,472,77.38
VITS,473,78.57
VITS,474,75.96
VITS,475,78.52
VITS,476,77.49
VITS,477,76.12
VITS,478,77.93
VITS,479,76.79
VITS,480,77.71
VITS,481,77.44
VITS,482,77.16
VITS,483,76.87
VITS,484,77.86
VITS,485,79
VITS,486,76.84
VITS,487,78.18
VITS,488,76.46
VITS,489,77.81
VITS,490,77.77
VITS,491,78.76
VITS,492,77.08
VITS,493,77.72
VITS,494,77.23
VITS,495,78
VITS,496,76.76
VITS,497,77.19
VITS,498,76.9
