seed,legend,step,snr,demand,action_mcs,action_prb,mcs,prb,pwr,tbs,reward,cum_regret,avg_regret
4,VITS,0,16.0,2462.4,28.0,106.0,22.0,0.0,79.48515,14480.8,6.652716,3.436605,3.436605
4,VITS,1,15.5,7701.067,12.0,56.0,11.0,56.0,79.21693,14307.547,6.669781,7.181548,3.7449434
4,VITS,2,15.5,2040.5667,23.0,91.0,11.0,0.0,78.69413,14165.459,6.721686,8.063503,0.88195527
4,VITS,3,16.0,2416.8,23.0,91.0,10.0,91.0,78.34664,14118.646,6.73923,8.138294,0.07479115
4,VITS,4,16.0,3129.0667,10.0,96.0,10.0,94.0,78.2933,14274.382,6.756898,12.856956,4.7186613
4,VITS,5,15.5,47643.668,27.0,6.0,10.0,6.0,77.90734,12959.743,6.5515647,20.889471,8.032516
4,VITS,6,15.5,298308.0,17.0,6.0,10.0,6.0,77.58403,11776.569,6.5875363,21.200445,0.31097442
4,VITS,7,15.5,298308.0,17.0,6.0,10.0,6.0,77.25367,10711.712,6.6240335,21.617662,0.41721672
4,VITS,8,16.0,274656.0,23.0,91.0,10.0,91.0,77.230125,11330.141,6.6240335,22.295885,0.6782231
4,VITS,9,15.5,290208.0,13.0,36.0,10.0,36.0,77.12232,10849.927,6.6240335,27.920444,5.62456
4,VITS,10,16.0,274656.0,25.0,91.0,10.0,91.0,77.0514,11454.534,6.6424837,28.018509,0.09806531
4,VITS,11,16.0,294240.0,18.0,21.0,10.0,21.0,76.97393,10693.081,6.6424837,33.55465,5.5361395
4,VITS,12,15.5,284628.0,12.0,56.0,10.0,56.0,76.79727,10648.572,6.6610713,36.8927,3.3380494
4,VITS,13,16.0,274656.0,23.0,91.0,10.0,91.0,77.17987,11273.315,6.6240335,37.06393,0.17122883
4,VITS,14,16.0,273864.0,14.0,96.0,10.0,96.0,76.99002,11888.384,6.6424837,41.69792,4.6339903
4,VITS,15,16.0,298308.0,15.0,6.0,10.0,6.0,76.55607,10812.346,6.679798,46.874237,5.1763134
4,VITS,16,15.5,296964.0,10.0,11.0,10.0,11.0,76.15161,9933.511,6.430023,50.50255,3.6283092
4,VITS,17,15.5,274656.0,23.0,91.0,10.0,91.0,76.16679,10629.76,6.7176776,50.88804,0.3854888
4,VITS,18,15.0,274656.0,23.0,91.0,10.0,91.0,76.06087,11256.384,6.7368345,51.15521,0.26717097
4,VITS,19,15.0,274656.0,23.0,91.0,10.0,91.0,76.34978,11820.346,6.698666,51.221684,0.066476524
4,VITS,20,15.0,277716.0,21.0,81.0,10.0,81.0,76.45547,12123.911,6.698666,51.812088,0.59040326
4,VITS,21,15.0,125395.2,23.0,91.0,10.0,90.0,76.81022,12550.72,6.6610713,51.83068,0.018594341
4,VITS,22,15.0,30771.066,23.0,86.0,10.0,86.0,76.75378,12858.048,6.6610713,52.639942,0.8092614
4,VITS,23,15.0,5014.6333,23.0,86.0,11.0,86.0,77.00561,13246.243,6.6424837,53.220493,0.5805525
4,VITS,24,15.0,3325.3,21.0,81.0,11.0,0.0,76.918655,13499.485,6.6424837,53.92059,0.7000951
4,VITS,25,15.0,2856.3,24.0,76.0,12.0,0.0,76.70988,13853.777,6.884198,55.250618,1.3300267
4,VITS,26,14.5,2502.3,23.0,91.0,13.0,0.0,76.495224,14115.652,6.921793,55.408035,0.15741855
4,VITS,27,15.0,2922.3333,16.0,81.0,13.0,81.0,76.520966,14583.634,6.902925,55.715935,0.3078978
4,VITS,28,15.0,3000.1,25.0,41.0,14.0,41.0,76.38011,14351.457,6.921793,56.495426,0.7794916
4,VITS,29,15.0,8777.366,12.0,41.0,12.0,40.0,76.19163,13856.632,6.9408045,58.164703,1.6692765
4,VITS,30,14.5,66163.8,16.0,11.0,12.0,11.0,75.97572,12730.969,6.7368345,58.702206,0.53750414
4,VITS,31,15.5,295982.5,16.0,11.0,13.0,11.0,75.87034,11731.658,6.7561398,59.44266,0.74045426
4,VITS,32,15.0,267744.0,16.0,81.0,13.0,81.0,75.836296,12708.893,6.7561398,59.606255,0.16359143
4,VITS,33,15.0,46470.266,16.0,81.0,14.0,81.0,76.093994,13845.203,6.9599614,59.780827,0.1745724
