seed,legend,step,snr,demand,action_mcs,action_prb,mcs,prb,pwr,tbs,reward,cum_regret,avg_regret
9,VITS,0,12.5,296964.0,28.0,106.0,9.0,11.0,76.003975,2024.0,5.35079,2.5893586,2.5893586
9,VITS,1,12.0,288864.0,22.0,41.0,9.0,41.0,75.8803,2564.0,5.3700953,5.498764,2.9094057
9,VITS,2,12.0,281940.0,14.0,66.0,10.0,66.0,76.3401,3511.6,5.3126216,9.027157,3.5283923
9,VITS,3,12.0,280404.0,12.0,71.0,11.0,71.0,76.278145,4471.1064,5.331633,14.826712,5.7995543
9,VITS,4,12.0,272352.0,20.0,91.0,11.0,91.0,76.3325,5867.196,6.005602,17.54128,2.7145689
9,VITS,5,12.0,272191.3,14.0,81.0,12.0,81.0,76.34446,7176.4766,6.005602,19.493956,1.9526752
9,VITS,6,12.0,266231.7,12.0,96.0,12.0,94.0,76.524925,8709.068,6.3921437,24.449123,4.9551673
9,VITS,7,12.0,292704.0,22.0,21.0,12.0,21.0,76.2054,8324.562,6.430023,27.557459,3.1083355
9,VITS,8,12.0,285780.0,11.0,46.0,11.0,46.0,76.131134,8440.105,6.430023,30.068203,2.5107431
9,VITS,9,11.5,283092.0,15.0,56.0,11.0,56.0,76.15278,8723.295,6.430023,32.288353,2.220151
9,VITS,10,11.5,270885.4,13.0,86.0,12.0,86.0,75.96744,9830.806,6.44918,35.95643,3.6680748
9,VITS,11,11.5,289248.0,26.0,31.0,12.0,31.0,75.852325,9564.525,6.4684854,40.50913,4.5527015
9,VITS,12,12.0,270048.0,15.0,76.0,13.0,76.0,76.00968,10604.872,6.7368345,41.62025,1.1111225
9,VITS,13,11.5,281556.0,11.0,61.0,11.0,61.0,75.881714,10773.985,6.7561398,44.173847,2.5535965
9,VITS,14,12.0,273864.0,28.0,86.0,11.0,86.0,75.99358,11438.986,6.7368345,46.59324,2.4193907
9,VITS,15,11.5,273140.0,23.0,76.0,12.0,76.0,76.05378,12087.888,6.7368345,48.66704,2.073803
9,VITS,16,12.0,270048.0,28.0,86.0,12.0,86.0,76.40392,12875.899,6.698666,50.62032,1.9532772
9,VITS,17,12.0,267744.0,22.0,81.0,13.0,81.0,76.39841,13738.709,6.921793,52.026573,1.4062531
9,VITS,18,11.5,293486.94,27.0,16.0,14.0,16.0,75.8965,12806.012,6.7561398,54.441013,2.4144392
9,VITS,19,12.0,281556.0,25.0,41.0,14.0,41.0,75.893295,12755.011,6.7561398,55.641823,1.2008076
9,VITS,20,11.5,284657.88,26.0,31.0,15.0,31.0,75.91592,12504.31,6.7368345,57.852943,2.2111206
9,VITS,21,11.5,296964.0,23.0,6.0,15.0,6.0,75.36662,11456.278,6.795203,60.142616,2.289674
9,VITS,22,11.5,272352.0,11.0,91.0,11.0,91.0,75.30647,12153.851,6.795203,62.70435,2.5617335
9,VITS,23,11.5,296554.66,16.0,11.0,12.0,11.0,74.98838,11171.799,6.8348866,66.35089,3.6465428
9,VITS,24,12.0,280404.0,15.0,56.0,12.0,56.0,74.84309,11361.02,6.8549666,68.06045,1.7095579
9,VITS,25,11.5,266431.4,23.0,86.0,13.0,86.0,75.08077,12478.518,6.8348866,71.63706,3.5766175
9,VITS,26,11.5,296964.0,9.0,11.0,9.0,11.0,74.76034,11433.065,6.8549666,72.59867,0.9616111
9,VITS,27,11.5,280404.0,23.0,71.0,9.0,71.0,74.88009,11596.159,6.8549666,74.87136,2.2726882
9,VITS,28,11.5,298308.0,24.0,6.0,10.0,6.0,74.724464,10549.343,6.8549666,75.545265,0.6739047
9,VITS,29,12.0,270948.5,16.0,106.0,10.0,106.0,74.85427,11434.009,6.8549666,76.90802,1.3627561
9,VITS,30,12.0,283488.8,24.0,56.0,11.0,56.0,74.64785,11407.567,6.87521,79.360825,2.4528027
9,VITS,31,11.5,270846.0,18.0,96.0,11.0,96.0,75.13411,12211.531,6.8149657,80.66641,1.305587
9,VITS,32,11.5,289248.0,27.0,31.0,12.0,31.0,75.11165,11707.178,6.8149657,82.96609,2.2996762
9,VITS,33,11.0,297876.0,22.0,6.0,12.0,6.0,75.324684,10678.061,6.795203,85.50742,2.5413373
9,VITS,34,12.0,289056.0,11.0,36.0,11.0,36.0,75.3741,10339.8545,6.507549,88.78357,3.2761464
9,VITS,35,12.0,294692.0,25.0,16.0,12.0,16.0,75.45997,9667.415,6.507549,91.029236,2.245668
9,VITS,36,11.5,290976.0,24.0,26.0,12.0,26.0,75.3068,9302.273,6.507549,93.03649,2.007257
9,VITS,37,16.5,297588.0,28.0,6.0,13.0,6.0,75.2381,8532.847,6.527312,96.09968,3.0631874
9,VITS,38,11.5,273864.0,15.0,66.0,13.0,66.0,75.48843,9421.962,6.507549,100.76866,4.668981
9,VITS,39,12.0,277332.0,15.0,51.0,14.0,51.0,75.54062,9990.966,6.487941,102.33832,1.5696535
9,VITS,40,12.0,259284.0,14.0,91.0,14.0,91.0,75.87009,11706.27,6.7561398,105.30916,2.9708405
9,VITS,41,11.5,292896.0,27.0,16.0,14.0,16.0,75.694855,11009.242,6.775595,106.66505,1.3558899
9,VITS,42,12.0,279252.0,9.0,76.0,9.0,76.0,75.69039,11291.518,6.775595,109.04591,2.3808668
9,VITS,43,12.0,298308.0,10.0,6.0,9.0,6.0,75.37416,10275.166,6.507549,110.56022,1.5143019
9,VITS,44,12.0,276564.0,11.0,86.0,10.0,86.0,75.4649,10810.05,6.795203,112.59385,2.0336316
9,VITS,45,12.0,272450.6,18.0,96.0,11.0,96.0,75.607414,11598.965,6.775595,113.48589,0.8920418
9,VITS,46,12.0,283092.0,28.0,56.0,11.0,56.0,75.56615,11566.269,6.775595,115.80553,2.319637
9,VITS,47,12.0,276948.0,26.0,66.0,12.0,66.0,75.65771,11946.441,6.775595,117.3426,1.5370709
9,VITS,48,12.0,275412.0,22.0,71.0,12.0,71.0,75.81321,12390.997,6.7561398,118.808525,1.4659262
9,VITS,49,12.0,287712.0,18.0,31.0,13.0,31.0,75.75448,11971.098,6.7561398,119.84494,1.036416
9,VITS,50,11.0,297444.0,26.0,6.0,14.0,6.0,75.54271,10947.588,6.775595,122.07819,2.2332551
9,VITS,51,11.5,288480.0,23.0,26.0,14.0,26.0,75.43921,10620.829,6.795203,125.49214,3.4139473
9,VITS,52,12.0,254676.0,21.0,91.0,15.0,91.0,75.87339,12580.346,6.7561398,126.484436,0.99229676
9,VITS,53,12.0,292128.0,17.0,16.0,15.0,16.0,75.43539,11847.111,6.795203,130.12354,3.6390955
9,VITS,54,11.5,291552.0,23.0,16.0,16.0,16.0,75.29028,11225.601,6.8149657,130.99574,0.87220883
9,VITS,55,12.0,280817.9,25.0,36.0,17.0,36.0,75.464355,11383.84,6.795203,134.58372,3.5879881
9,VITS,56,12.0,249345.33,27.0,96.0,17.0,96.0,76.53819,13620.123,6.902925,137.60988,3.0261505
9,VITS,57,11.5,289832.4,11.0,26.0,11.0,26.0,76.356415,12782.91,6.698666,141.1137,3.5038106
9,VITS,58,12.0,269364.8,15.0,101.0,11.0,101.0,76.574524,13549.1,6.902925,147.36887,6.255175
9,VITS,59,12.0,278484.0,14.0,61.0,12.0,61.0,76.73355,13628.59,6.884198,150.24036,2.8714972
9,VITS,60,13.0,261210.9,19.0,106.0,13.0,106.0,76.79811,14918.397,6.884198,151.4643,1.2239448
9,VITS,61,12.5,267744.0,13.0,81.0,13.0,81.0,77.089226,15576.958,6.8656106,153.13289,1.668593
9,VITS,62,12.5,283092.0,10.0,61.0,10.0,61.0,76.95999,15146.462,6.8656106,156.42105,3.288158
9,VITS,63,13.0,287316.0,26.0,46.0,10.0,46.0,76.91499,14477.416,6.8656106,159.71713,3.296082
9,VITS,64,13.0,275412.0,13.0,81.0,11.0,81.0,77.169815,14668.874,6.8471603,159.75447,0.03734583
9,VITS,65,13.0,278799.72,15.0,66.0,12.0,66.0,77.17994,14643.213,6.8471603,160.8547,1.1002274
9,VITS,66,13.0,271560.0,13.0,81.0,12.0,81.0,77.10054,15074.892,6.8471603,161.04648,0.19177443
9,VITS,67,13.0,267744.0,13.0,81.0,13.0,81.0,77.43963,15717.803,6.8288455,161.1216,0.075125486
9,VITS,68,13.0,267744.0,13.0,81.0,13.0,81.0,77.56146,16296.423,6.810663,161.13132,0.009721106
9,VITS,69,13.0,267744.0,13.0,81.0,13.0,81.0,77.70306,16817.18,6.974923,161.16931,0.037997156
9,VITS,70,13.0,267744.0,13.0,81.0,13.0,81.0,77.62065,17285.861,6.992974,161.4299,0.2605882
9,VITS,71,13.0,267744.0,13.0,81.0,13.0,81.0,77.42502,17707.676,7.0111556,161.69485,0.26494947
9,VITS,72,12.5,267744.0,13.0,81.0,13.0,81.0,77.53927,18087.309,6.992974,161.86623,0.17137198
9,VITS,73,13.0,266196.0,27.0,86.0,13.0,86.0,77.66526,18532.178,6.992974,165.59439,3.72817
9,VITS,74,13.0,267744.0,13.0,81.0,13.0,81.0,77.9257,18829.36,6.957002,165.73488,0.14048974
9,VITS,75,13.0,267744.0,13.0,81.0,13.0,81.0,77.72252,19096.824,6.974923,165.96436,0.2294837
9,VITS,76,12.5,267744.0,13.0,81.0,13.0,81.0,77.6141,19337.541,6.992974,166.09631,0.13196187
9,VITS,77,12.5,278484.0,11.0,71.0,11.0,71.0,77.35755,18838.188,7.0111556,169.62196,3.5256503
9,VITS,78,13.0,275412.0,22.0,81.0,11.0,81.0,77.439705,18593.568,7.0111556,170.72635,1.1043838
9,VITS,79,13.0,271560.0,13.0,81.0,12.0,81.0,77.43494,18630.21,7.0111556,171.13881,0.4124619
9,VITS,80,13.0,270012.4,13.0,81.0,13.0,81.0,77.70977,18807.35,6.974923,171.17299,0.03417453
9,VITS,81,13.0,267744.0,13.0,81.0,13.0,81.0,77.67042,19077.016,6.992974,171.2658,0.09279684
9,VITS,82,13.0,267744.0,13.0,81.0,13.0,81.0,77.6267,19319.715,6.992974,171.40327,0.13748507
9,VITS,83,13.0,267744.0,13.0,81.0,13.0,81.0,77.5472,19538.143,7.1471167,171.57866,0.17538445
9,VITS,84,12.5,275796.0,23.0,61.0,13.0,61.0,77.46012,19197.928,7.0111556,171.83221,0.25355515
9,VITS,85,13.0,255687.5,27.0,106.0,14.0,106.0,77.38808,20286.055,7.1652985,173.12494,1.2927227
9,VITS,86,13.0,267744.0,13.0,81.0,13.0,81.0,77.19207,20407.85,7.183614,173.35986,0.23491697
9,VITS,87,13.0,267744.0,13.0,81.0,13.0,81.0,77.2673,20517.465,7.183614,173.79222,0.43235284
9,VITS,88,13.0,267744.0,13.0,81.0,13.0,81.0,76.906975,20616.12,7.202064,173.9272,0.13497669
9,VITS,89,13.0,267744.0,13.0,81.0,13.0,81.0,77.049904,20704.906,7.202064,174.216,0.2888053
9,VITS,90,13.0,267744.0,13.0,81.0,13.0,81.0,77.094696,20784.816,7.202064,174.54414,0.32813483
9,VITS,91,12.5,267744.0,13.0,81.0,13.0,81.0,77.14315,20856.734,7.183614,174.83714,0.29299814
9,VITS,92,12.5,281940.0,21.0,46.0,13.0,46.0,77.17316,19975.06,7.183614,176.20741,1.3702729
9,VITS,93,12.5,289824.0,27.0,26.0,13.0,26.0,77.162186,18655.955,7.029471,178.3781,2.1706815
9,VITS,94,12.5,252655.73,19.0,106.0,14.0,106.0,77.18761,19953.613,7.183614,179.80061,1.4225209
9,VITS,95,12.5,252196.6,21.0,101.0,15.0,101.0,77.27968,21190.678,7.183614,180.69518,0.89455813
9,VITS,96,13.0,276948.0,26.0,46.0,15.0,46.0,77.14627,20608.41,7.183614,181.45863,0.76345986
9,VITS,97,12.5,267744.0,13.0,81.0,13.0,81.0,77.081665,20697.969,7.202064,181.71469,0.25606185
9,VITS,98,13.0,285780.0,18.0,36.0,13.0,36.0,76.92258,19576.172,7.202064,184.64708,2.932392
9,VITS,99,12.5,267744.0,13.0,81.0,13.0,81.0,76.92277,19768.955,7.202064,184.70381,0.056730565
9,VITS,100,13.0,275412.0,9.0,91.0,9.0,91.0,76.58577,19431.26,7.085235,187.54645,2.842629
9,VITS,101,12.5,277716.0,13.0,81.0,9.0,81.0,76.57277,18973.734,7.085235,187.73647,0.19001544
9,VITS,102,13.0,284628.0,27.0,56.0,10.0,56.0,76.52062,18101.16,7.085235,192.73013,4.9936633
9,VITS,103,13.0,277716.0,13.0,81.0,10.0,81.0,76.3303,17776.645,7.104103,192.79105,0.060913723
9,VITS,104,13.5,275412.0,13.0,81.0,11.0,81.0,76.3823,17638.18,7.104103,192.9462,0.15515105
9,VITS,105,13.0,273325.5,13.0,81.0,12.0,81.0,76.16853,17693.322,7.1231146,193.05365,0.10744636
9,VITS,106,13.0,271560.0,13.0,81.0,12.0,81.0,76.36928,17819.99,7.104103,193.14194,0.08828275
