seed,legend,step,snr,demand,action_mcs,action_prb,mcs,prb,pwr,tbs,reward,cum_regret,avg_regret
4,VITS,0,13.5,4131.7,28.0,106.0,19.0,102.0,81.79592,30308.8,7.149651,4.5075116,4.5075116
4,VITS,1,13.5,2548.6667,13.0,86.0,13.0,0.0,81.301956,29092.773,7.181297,11.409643,6.9021316
4,VITS,2,13.5,46976.234,25.0,6.0,13.0,6.0,80.500305,26344.297,7.14046,14.064196,2.6545527
4,VITS,3,14.0,81106.3,22.0,106.0,13.0,105.0,80.26556,26465.2,7.173355,17.647604,3.5834084
4,VITS,4,14.0,2141.1667,10.0,96.0,10.0,0.0,79.68129,25226.467,7.105746,24.323416,6.6758113
4,VITS,5,14.0,10512.2,26.0,51.0,10.0,50.0,79.45523,23626.22,7.122695,28.882343,4.5589266
4,VITS,6,13.5,59601.668,9.0,21.0,9.0,21.0,78.79598,21647.012,7.0407176,33.696625,4.814283
4,VITS,7,13.5,205208.0,16.0,36.0,9.0,36.0,78.4905,20135.11,7.075683,37.89446,4.1978326
4,VITS,8,14.0,281940.0,23.0,66.0,9.0,66.0,78.23059,19325.6,6.9392085,45.82373,7.9292703
4,VITS,9,14.0,206177.8,19.0,106.0,9.0,105.0,78.02946,19310.719,6.957002,52.634792,6.8110614
4,VITS,10,14.0,85259.836,26.0,16.0,9.0,16.0,77.49477,17677.248,7.0111556,58.690723,6.0559297
4,VITS,11,14.0,222790.67,13.0,81.0,9.0,80.0,77.33577,17385.736,7.0111556,62.63245,3.941727
4,VITS,12,13.5,71444.266,15.0,96.0,9.0,95.0,77.05258,17386.043,7.047921,66.9382,4.3057547
4,VITS,13,14.0,38854.3,16.0,16.0,9.0,16.0,76.59063,15937.598,6.902925,73.22612,6.2879167
4,VITS,14,13.5,231964.0,16.0,11.0,10.0,11.0,76.58007,14546.238,6.902925,75.395164,2.1690452
4,VITS,15,14.0,288664.47,13.0,41.0,11.0,41.0,76.74325,13852.841,6.884198,81.21619,5.821023
4,VITS,16,14.0,285780.0,21.0,46.0,11.0,46.0,76.34165,13415.557,6.698666,89.63519,8.419005
4,VITS,17,13.5,291129.6,16.0,26.0,12.0,26.0,75.92749,12675.602,6.7368345,95.419655,5.784465
4,VITS,18,14.0,281940.0,9.0,66.0,9.0,66.0,75.81464,12612.041,6.7561398,99.620766,4.20111
4,VITS,19,14.0,280404.0,23.0,71.0,9.0,71.0,75.562195,12657.237,6.775595,103.45098,3.8302124
4,VITS,20,13.5,276564.0,27.0,86.0,10.0,86.0,75.622246,12953.913,6.775595,109.65711,6.2061305
4,VITS,21,14.0,280404.0,12.0,71.0,10.0,71.0,75.879585,12964.922,6.7561398,115.72666,6.0695515
4,VITS,22,13.5,292219.72,26.0,26.0,11.0,26.0,75.55573,12193.2295,6.775595,123.22905,7.5023866
4,VITS,23,14.0,285780.0,19.0,46.0,11.0,46.0,75.50693,11921.907,6.775595,128.20282,4.9737773
4,VITS,24,14.0,276948.0,14.0,66.0,12.0,66.0,75.47203,12266.517,6.795203,131.40303,3.2002156
4,VITS,25,13.0,297876.0,12.0,6.0,12.0,6.0,75.35044,11181.465,6.795203,135.9271,4.5240564
4,VITS,26,14.0,264756.8,16.0,101.0,12.0,101.0,75.6939,12414.998,6.775595,140.8067,4.8796077
4,VITS,27,13.5,292016.0,18.0,21.0,13.0,21.0,75.695595,11715.365,6.775595,143.62314,2.8164403
4,VITS,28,14.0,285780.0,26.0,36.0,13.0,36.0,75.692215,11491.828,6.775595,147.92755,4.304416
4,VITS,29,13.5,279636.0,24.0,46.0,14.0,46.0,75.77231,11700.245,6.7561398,152.20856,4.2810116
4,VITS,30,14.0,199993.86,21.0,101.0,14.0,100.0,76.030075,13526.221,6.9599614,158.09883,5.8902783
4,VITS,31,14.5,2483.7,12.0,56.0,12.0,0.0,76.125565,13437.279,6.7176776,163.09848,4.9996467
4,VITS,32,14.0,2751.4,14.0,96.0,13.0,79.0,76.012184,13933.925,6.9599614,166.9839,3.8854165
4,VITS,33,13.5,3459.6,20.0,86.0,13.0,0.0,75.89799,14628.532,6.9792666,170.50708,3.5231833
4,VITS,34,13.5,3286.8333,22.0,56.0,14.0,56.0,75.7345,14761.492,6.9792666,175.64684,5.1397557
4,VITS,35,13.5,3086.6667,17.0,76.0,14.0,0.0,75.59158,15075.796,6.998722,178.41872,2.771887
4,VITS,36,14.0,36868.832,26.0,11.0,15.0,11.0,75.3986,13940.856,7.01833,182.02054,3.6018236
4,VITS,37,14.5,164286.5,20.0,11.0,16.0,11.0,75.28461,12930.077,6.8149657,188.93858,6.918038
4,VITS,38,14.0,177609.83,26.0,91.0,16.0,90.0,75.61271,14839.576,6.998722,190.95139,2.0128052
4,VITS,39,13.5,3257.4333,26.0,46.0,17.0,0.0,75.60502,14847.512,6.998722,195.88446,4.9330807
4,VITS,40,14.0,19585.633,14.0,26.0,14.0,25.0,75.57438,14105.161,6.998722,200.07948,4.195019
4,VITS,41,14.0,63448.0,12.0,41.0,12.0,40.0,75.70662,13617.045,6.9792666,204.36206,4.282576
4,VITS,42,13.5,118330.37,11.0,16.0,11.0,16.0,75.46398,12579.341,6.795203,209.91533,5.553273
4,VITS,43,14.0,240846.0,13.0,96.0,11.0,95.0,75.76227,13267.807,6.7561398,216.5079,6.5925694
4,VITS,44,14.0,6968.433,25.0,106.0,12.0,57.0,75.94738,13951.079,6.9599614,221.25769,4.749779
4,VITS,45,14.0,2974.3333,24.0,76.0,12.0,76.0,76.013176,14088.558,6.9599614,225.1261,3.868402
4,VITS,46,14.0,13162.066,9.0,46.0,9.0,45.0,75.99842,13508.582,6.9599614,229.6428,4.5167136
4,VITS,47,14.0,59797.0,23.0,41.0,10.0,40.0,75.787796,12887.324,6.7561398,234.5347,4.8918886
4,VITS,48,14.0,93833.0,19.0,51.0,10.0,51.0,75.69128,12520.991,6.775595,239.22697,4.6922812
4,VITS,49,14.5,180154.3,25.0,16.0,11.0,16.0,75.599815,11592.893,6.775595,245.02142,5.794451
4,VITS,50,14.0,285780.0,25.0,46.0,11.0,46.0,75.19706,11381.604,6.8149657,250.94562,5.924189
4,VITS,51,14.0,270048.0,15.0,86.0,12.0,86.0,75.50521,12240.243,6.775595,255.6895,4.743877
4,VITS,52,14.0,53805.234,19.0,96.0,12.0,95.0,75.591896,13215.898,6.775595,261.293,5.6035066
4,VITS,53,13.5,45141.367,9.0,11.0,9.0,11.0,75.32188,12095.642,6.795203,266.28568,4.992667
4,VITS,54,14.0,125412.0,11.0,91.0,10.0,90.0,75.20701,12525.277,6.8149657,269.67163,3.3859503
4,VITS,55,14.0,16595.3,28.0,96.0,10.0,0.0,75.63485,13013.39,6.775595,274.42484,4.7531915
4,VITS,56,14.0,2197.2334,28.0,71.0,11.0,0.0,75.61904,13023.571,6.775595,277.81064,3.3858106
4,VITS,57,13.5,41515.5,14.0,11.0,11.0,11.0,75.485466,11946.654,6.795203,283.75275,5.9421225
4,VITS,58,13.5,137316.0,22.0,36.0,12.0,36.0,75.67686,11597.589,6.775595,288.80685,5.0541205
4,VITS,59,14.0,162608.4,25.0,86.0,13.0,85.0,76.11372,12640.069,6.7176776,292.34134,3.5344827
4,VITS,60,14.0,16314.1,21.0,31.0,13.0,30.0,76.05984,12170.516,6.7368345,298.47964,6.138318
