seed,legend,step,snr,demand,action_mcs,action_prb,mcs,prb,pwr,tbs,reward,cum_regret,avg_regret
0,VITS,0,9.5,8055.85,28.0,106.0,15.0,0.0,81.63894,30499.2,1.8784072,8.709436,8.709436
0,VITS,1,10.0,4228.8,10.0,96.0,10.0,96.0,75.95203,16930.4,2.503892,15.757602,7.0481653
0,VITS,2,10.0,20882.05,23.0,46.0,10.0,45.0,73.75281,8205.2,2.5490928,22.98374,7.2261386
0,VITS,3,9.5,114982.35,11.0,16.0,10.0,16.0,74.01665,2976.0,0.66562104,29.77127,6.7875304
0,VITS,4,10.0,279252.0,19.0,76.0,10.0,76.0,75.51683,13832.0,0.08732106,42.92476,13.153488
0,VITS,5,10.0,227316.0,19.0,46.0,10.0,46.0,75.004555,8456.0,0.20260397,49.98903,7.0642686
0,VITS,6,9.5,292896.0,21.0,26.0,10.0,26.0,73.06229,4736.0,0.075776875,59.42298,9.43395
0,VITS,7,10.5,298308.0,17.0,6.0,10.0,6.0,72.747284,1128.0,0.0810205,67.070206,7.647228
0,VITS,8,10.0,283092.0,25.0,61.0,10.0,61.0,74.806526,11272.0,0.0941532,76.515,9.4447975
0,VITS,9,10.5,295536.0,12.0,16.0,10.0,16.0,73.961685,2976.0,0.07112595,83.82373,7.308731
0,VITS,10,10.5,281940.0,16.0,66.0,10.0,66.0,74.73022,12040.0,0.09643491,93.58696,9.763231
0,VITS,11,10.5,294240.0,28.0,21.0,10.0,21.0,73.3905,3840.0,0.0733942,104.103905,10.516942
0,VITS,12,10.0,273864.0,19.0,96.0,10.0,96.0,76.24224,17424.0,0.098683536,112.03785,7.9339437
0,VITS,13,9.5,295140.0,25.0,16.0,11.0,16.0,73.901886,3240.0,0.07181601,122.119484,10.081637
0,VITS,14,10.0,269939.4,26.0,96.0,12.0,96.0,78.365814,20385.6,0.09302291,131.20152,9.082045
0,VITS,15,9.5,296100.0,13.0,11.0,12.0,11.0,73.7894,2600.0,0.0701477,139.99701,8.79548
0,VITS,16,10.0,263892.0,21.0,91.0,13.0,91.0,78.10552,24072.0,0.10712214,147.19485,7.197846
0,VITS,17,10.0,259783.2,27.0,91.0,14.0,91.0,78.10785,27144.0,0.117445074,157.10608,9.911219
0,VITS,18,10.0,40452.7,23.0,61.0,15.0,61.0,78.08931,18056.4,1.9506937,161.73286,4.6267805
0,VITS,19,10.0,3342.8,13.0,96.0,13.0,96.0,75.22529,19209.2,2.2841716,167.03963,5.306768
0,VITS,20,10.0,51081.5,20.0,21.0,13.0,21.0,73.78708,5440.0,1.3790927,174.72978,7.6901555
0,VITS,21,10.0,139056.8,23.0,26.0,14.0,26.0,75.18756,7411.2,0.5260064,182.17934,7.449551
0,VITS,22,10.5,298308.0,9.0,6.0,9.0,6.0,71.8692,1128.0,0.0810205,191.29453,9.1151905
0,VITS,23,9.0,298308.0,22.0,6.0,9.0,6.0,71.663055,1128.0,0.0810205,199.94914,8.654619
0,VITS,24,9.5,287316.0,11.0,46.0,10.0,46.0,74.21471,8456.0,0.086013615,209.4121,9.462946
0,VITS,25,10.0,279660.0,17.0,71.0,11.0,71.0,74.590546,13704.0,0.101052105,217.06725,7.6551495
0,VITS,26,9.5,296580.0,22.0,11.0,11.0,11.0,72.6954,2280.0,0.08397137,224.67505,7.607805
0,VITS,27,9.5,280404.0,18.0,56.0,12.0,56.0,77.087746,13064.0,0.07053414,232.54605,7.871
0,VITS,28,10.0,267744.0,13.0,81.0,13.0,81.0,77.96432,21504.0,0.09798112,239.64043,7.0943823
0,VITS,29,9.5,291552.0,10.0,31.0,10.0,31.0,74.12205,5632.0,0.07819095,248.35371,8.7132845
0,VITS,30,9.5,280404.0,9.0,71.0,9.0,71.0,75.07489,13064.0,0.08497463,256.75916,8.405455
0,VITS,31,10.5,272421.3,28.0,101.0,9.0,101.0,76.1691,18432.0,0.10184937,266.09506,9.335915
0,VITS,32,9.5,292896.0,22.0,26.0,10.0,26.0,74.682274,4736.0,0.075776875,274.3281,8.23304
0,VITS,33,10.0,287309.6,13.0,46.0,11.0,46.0,72.95867,8507.2,0.10068077,282.8135,8.485412
0,VITS,34,10.0,283092.0,16.0,56.0,11.0,56.0,74.647,11272.0,0.0941532,291.24127,8.427775
0,VITS,35,10.0,286164.0,9.0,51.0,9.0,51.0,73.88357,9224.0,0.08819903,299.29303,8.051762
0,VITS,36,10.0,273864.0,28.0,96.0,10.0,96.0,76.07925,17424.0,0.098683536,306.78113,7.4880934
0,VITS,37,9.5,283092.0,27.0,61.0,10.0,61.0,76.62339,11272.0,0.07960769,316.82037,10.039245
0,VITS,38,10.0,289056.0,16.0,36.0,11.0,36.0,72.749306,7296.0,0.097412385,325.59753,8.777153
0,VITS,39,10.0,290976.0,28.0,26.0,12.0,26.0,76.16608,6016.0,0.06468988,332.9513,7.353767
0,VITS,40,10.0,292248.0,24.0,21.0,13.0,21.0,74.8237,5248.0,0.0769405,342.7199,9.76861
0,VITS,41,10.0,283860.0,19.0,41.0,13.0,41.0,75.15888,10760.0,0.078101724,352.33255,9.612638
0,VITS,42,10.0,268500.0,25.0,71.0,14.0,71.0,77.7271,21000.0,0.096233256,361.851,9.51846
0,VITS,43,10.5,292128.0,17.0,16.0,15.0,16.0,74.19828,5248.0,0.07715241,371.94412,10.0931
0,VITS,44,10.0,279360.8,19.0,41.0,16.0,41.0,75.51142,13934.4,0.08712439,381.20135,9.257223
0,VITS,45,9.5,257068.0,28.0,81.0,16.0,81.0,80.04525,28680.0,0.1100359,388.242,7.0406637
0,VITS,46,9.5,280490.4,23.0,36.0,17.0,36.0,76.918785,12808.0,0.08477229,395.79248,7.5504713
0,VITS,47,10.0,251748.25,16.0,96.0,16.0,96.0,81.44456,33816.0,0.11096205,402.38318,6.590712
0,VITS,48,10.0,256947.9,23.0,81.0,16.0,81.0,80.5083,28680.0,0.11032129,411.45746,9.074272
0,VITS,49,10.0,269394.6,21.0,56.0,16.0,56.0,78.232765,19968.0,0.09408407,419.54996,8.092508
0,VITS,50,10.0,248549.5,15.0,106.0,15.0,106.0,82.01806,34637.2,0.11952834,427.4435,7.8935523
0,VITS,51,10.0,38401.8,28.0,66.0,15.0,65.0,77.99452,21504.0,2.2024515,433.53232,6.0888004
0,VITS,52,10.0,44756.65,20.0,26.0,15.0,26.0,76.27325,8270.0,1.5525732,442.498,8.9656725
0,VITS,53,10.0,80443.25,12.0,66.0,12.0,65.0,75.48812,15112.0,1.0349278,450.61984,8.121843
0,VITS,54,10.0,85785.0,11.0,11.0,11.0,11.0,73.09282,2280.0,0.8888618,457.92184,7.302001
0,VITS,55,10.0,255984.0,15.0,71.0,11.0,71.0,76.4709,14344.0,0.1361457,466.65277,8.730936
0,VITS,56,9.5,60030.5,24.0,86.0,11.0,85.0,76.72647,17424.0,1.3882229,472.31744,5.664673
0,VITS,57,9.5,34987.5,15.0,36.0,11.0,35.0,75.06304,7168.0,1.8003716,479.41373,7.096273
0,VITS,58,10.0,91913.0,22.0,51.0,11.0,51.0,75.14331,10504.0,0.87227666,489.8877,10.473958
0,VITS,59,10.0,50315.5,20.0,71.0,11.0,70.0,76.24648,14344.0,1.5464661,497.60156,7.713878
0,VITS,60,10.0,35015.8,10.0,36.0,10.0,35.0,72.05619,6400.0,1.806258,505.32718,7.725608
0,VITS,61,10.0,130969.25,27.0,31.0,10.0,31.0,72.60603,5632.0,0.59357893,514.8561,9.528897
0,VITS,62,10.0,150753.75,21.0,101.0,11.0,100.0,76.65867,20265.6,0.50125265,523.3228,8.466748
0,VITS,63,9.5,44646.7,26.0,26.0,12.0,26.0,74.99882,5273.6,1.508758,532.4604,9.137556
0,VITS,64,9.5,18748.05,19.0,101.0,12.0,60.0,77.43219,20471.6,4.43542,538.2384,5.7780075
0,VITS,65,10.0,64432.05,26.0,11.0,13.0,11.0,73.06302,2976.0,1.1339434,545.99994,7.761552
0,VITS,66,10.0,284420.0,18.0,36.0,14.0,36.0,74.83217,10504.0,0.091566205,554.4681,8.468149
0,VITS,67,9.5,283860.0,19.0,36.0,14.0,36.0,75.04115,10760.0,0.078101724,563.40015,8.932042
0,VITS,68,9.5,296964.0,23.0,6.0,15.0,6.0,72.542,2024.0,0.08331141,571.96576,8.56564
0,VITS,69,10.0,294167.5,25.0,11.0,16.0,11.0,73.85095,3904.0,0.07352157,579.3915,7.4257298
0,VITS,70,10.0,275568.1,17.0,46.0,16.0,46.0,76.653915,16392.0,0.09503709,588.3242,8.932723
0,VITS,71,10.0,277976.8,20.0,41.0,16.0,41.0,76.1721,14600.0,0.08993886,597.88196,9.55772
0,VITS,72,9.5,293876.6,24.0,11.0,16.0,11.0,74.4961,3904.0,0.0740282,606.7507,8.8687315
0,VITS,73,10.0,266230.66,12.0,96.0,12.0,96.0,78.15373,22536.0,0.101528056,618.4977,11.747006
0,VITS,74,10.0,296100.0,16.0,11.0,12.0,11.0,72.019455,2600.0,0.08479978,627.13715,8.639494
0,VITS,75,9.5,292704.0,21.0,21.0,12.0,21.0,72.96251,4864.0,0.09077181,635.2007,8.0635195
0,VITS,76,10.0,280404.0,17.0,56.0,12.0,56.0,74.55623,13064.0,0.099520154,643.2029,8.002176
0,VITS,77,10.0,290976.0,16.0,26.0,12.0,26.0,73.719406,6016.0,0.0792354,650.5304,7.3275027
0,VITS,78,10.0,283092.0,9.0,61.0,9.0,61.0,75.03493,11272.0,0.07960769,660.78314,10.252761
0,VITS,79,10.0,283092.0,17.0,61.0,9.0,61.0,75.23279,11272.0,0.07960769,668.2893,7.5061607
0,VITS,80,9.5,272421.3,18.0,101.0,9.0,101.0,74.31801,18432.0,0.116394885,675.58905,7.2997355
0,VITS,81,10.0,287316.0,22.0,46.0,9.0,46.0,73.65217,8456.0,0.086013615,684.1856,8.596573
0,VITS,82,10.0,287316.0,18.0,46.0,9.0,46.0,74.90076,8456.0,0.086013615,692.61914,8.433561
