seed,legend,step,snr,demand,action_mcs,action_prb,mcs,prb,pwr,tbs,reward,cum_regret,avg_regret
0,VITS,0,9.5,6324.0,28.0,106.0,15.0,106.0,82.305855,26416.8,1.9948765,10.87149,10.87149
0,VITS,1,10.0,6559.1,10.0,11.0,15.0,0.0,78.939964,30722.8,1.8381672,21.44537,10.573881
0,VITS,2,10.0,4618.3,10.0,46.0,15.0,11.0,80.39582,27687.6,1.8767953,32.41738,10.972012
0,VITS,3,10.0,5229.9,18.0,26.0,15.0,106.0,77.904785,31571.2,1.7563887,42.528614,10.111232
0,VITS,4,10.0,4673.75,22.0,106.0,15.0,106.0,78.307236,24479.6,2.0434873,53.87162,11.343008
0,VITS,5,10.0,6109.15,11.0,36.0,15.0,104.0,80.30072,30156.8,1.830216,63.538033,9.666411
0,VITS,6,10.0,4085.8,15.0,31.0,15.0,0.0,78.64592,24384.0,2.020939,75.66653,12.128494
0,VITS,7,10.0,6739.5,20.0,46.0,15.0,0.0,80.47565,33999.6,1.7026649,87.75138,12.084852
0,VITS,8,10.0,4618.15,14.0,36.0,15.0,0.0,81.18469,31185.6,1.721386,97.7893,10.037918
0,VITS,9,10.0,6577.1,9.0,71.0,15.0,104.0,77.50331,27248.0,1.9941827,107.03574,9.246443
0,VITS,10,10.0,5003.4,23.0,6.0,15.0,89.0,77.18305,26718.4,1.9503971,118.510025,11.474285
0,VITS,11,10.0,8773.6,28.0,46.0,15.0,106.0,80.51582,29226.4,1.98312,126.776054,8.266028
0,VITS,12,10.0,6671.05,20.0,31.0,15.0,106.0,78.56822,32362.0,1.7766211,139.48807,12.71202
0,VITS,13,10.0,5256.75,18.0,41.0,15.0,0.0,76.03071,26889.2,1.9677203,150.91814,11.430065
0,VITS,14,10.0,6001.65,22.0,71.0,15.0,0.0,81.16953,32667.6,1.7130758,160.34923,9.431086
0,VITS,15,10.0,4927.95,19.0,41.0,15.0,0.0,77.86418,24646.4,2.047178,170.05547,9.706238
0,VITS,16,9.5,7289.55,17.0,11.0,15.0,106.0,79.560356,29982.4,1.8842255,180.69872,10.643243
0,VITS,17,8.5,4872.9,26.0,31.0,15.0,16.0,81.84778,30781.2,1.745678,190.93538,10.23666
0,VITS,18,10.5,4597.5,20.0,91.0,15.0,0.0,80.85266,26716.4,1.919088,195.62599,4.690607
0,VITS,19,10.0,4743.05,14.0,76.0,15.0,0.0,79.50128,28624.0,1.8418604,201.59114,5.9651546
0,VITS,20,10.0,2432.3,10.0,106.0,14.0,0.0,76.90255,18456.8,2.2774472,211.2412,9.650055
0,VITS,21,10.0,3486.65,11.0,6.0,14.0,0.0,80.265274,24302.0,1.98338,221.25163,10.010444
0,VITS,22,9.5,3804.4,11.0,56.0,14.0,106.0,76.374855,26413.2,1.9285506,232.20024,10.948605
