seed,legend,step,snr,demand,action_mcs,action_prb,mcs,prb,pwr,tbs,reward,cum_regret,avg_regret
2,VITS,0,14.0,5062.2,28.0,106.0,20.0,100.0,81.728745,33211.2,7.244958,0.41198093,0.41198093
2,VITS,1,13.0,3512.8333,27.0,81.0,19.0,35.0,81.20564,32495.574,7.2925787,3.1011784,2.6891975
2,VITS,2,14.0,4632.6,27.0,26.0,19.0,26.0,80.71345,30320.309,7.22953,3.741117,0.6399387
2,VITS,3,13.5,2003.5333,18.0,56.0,18.0,56.0,80.34627,28835.318,7.2622104,6.5176964,2.7765796
2,VITS,4,14.0,2696.6,24.0,86.0,18.0,85.0,79.924225,27759.174,7.189966,8.193214,1.6755178
2,VITS,5,14.0,3060.8,27.0,81.0,18.0,81.0,79.288956,27096.11,7.2575383,8.300809,0.10759471
2,VITS,6,14.0,20690.4,19.0,21.0,18.0,20.0,79.090576,25141.7,7.156942,10.185139,1.8843293
2,VITS,7,13.5,86385.336,9.0,26.0,9.0,26.0,78.68109,23101.129,7.1916647,12.125509,1.9403706
2,VITS,8,14.0,128100.0,27.0,81.0,9.0,80.0,78.90907,22251.016,7.0234165,12.411878,0.28636846
2,VITS,9,13.5,116153.4,18.0,31.0,9.0,31.0,78.27152,20589.113,7.093351,13.699101,1.287224
2,VITS,10,13.5,237760.8,23.0,81.0,9.0,80.0,78.21859,20008.977,7.093351,15.427145,1.7280438
2,VITS,11,14.0,67975.8,16.0,101.0,9.0,93.0,78.18175,19841.04,7.093351,17.275097,1.8479512
2,VITS,12,13.5,2870.9333,17.0,76.0,9.0,76.0,78.04474,19228.188,6.957002,20.07057,2.7954738
2,VITS,13,14.0,2857.9666,25.0,76.0,9.0,0.0,77.80684,18654.436,6.974923,23.801983,3.731412
2,VITS,14,13.5,3301.0334,26.0,101.0,9.0,0.0,77.64897,18155.738,6.992974,25.883356,2.0813727
2,VITS,15,14.0,30400.033,19.0,26.0,9.0,26.0,77.15871,16803.951,7.029471,27.392382,1.5090262
2,VITS,16,14.0,88457.0,25.0,71.0,9.0,70.0,76.87149,16404.357,6.884198,29.117292,1.7249109
