seed,legend,step,snr,action_mcs,action_prb,mcs,prb,pwr,tbs,cum_regret,avg_regret
42,VITS - eta: 10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,VITS - eta: 10,1,0.65384614,15.0,105.0,15.0,95.0,0.53305715,1.0584,24.755388,24.755388
42,VITS - eta: 10,2,0.63461536,14.0,65.0,14.0,65.0,0.45416668,0.6488,50.812008,26.05662
42,VITS - eta: 10,3,0.61538464,23.0,50.0,14.0,50.0,0.41965857,0.4952,75.02806,24.216051
42,VITS - eta: 10,4,0.63461536,13.0,65.0,13.0,65.0,0.425316,0.5632,98.7235,23.695444
42,VITS - eta: 10,5,0.625,21.0,55.0,13.0,54.0,0.41961232,0.47813332,121.03633,22.312826
42,VITS - eta: 10,6,0.63461536,21.0,95.0,13.0,95.0,0.5346,0.8368,148.41948,27.383152
42,VITS - eta: 10,7,0.625,23.0,70.0,14.0,53.0,0.44436523,0.52933335,172.96205,24.542578
42,VITS - eta: 10,8,0.63461536,12.0,75.0,12.0,74.0,0.42783043,0.5808,194.31148,21.349432
42,VITS - eta: 10,9,0.6442308,15.0,75.0,13.0,66.0,0.42783043,0.5808,220.5112,26.19972
42,VITS - eta: 10,10,0.625,26.0,60.0,13.0,60.0,0.45483026,0.52933335,245.88472,25.373518
42,VITS - eta: 10,11,0.61538464,12.0,100.0,12.0,100.0,0.08063333,0.7856,268.48123,22.596512
42,VITS - eta: 10,12,0.63461536,22.0,85.0,12.0,85.0,0.46817097,0.6656,291.82227,23.34102
42,VITS - eta: 10,13,0.63461536,15.0,60.0,12.0,59.0,0.39056924,0.46106666,315.2895,23.467213
42,VITS - eta: 10,14,0.63461536,28.0,60.0,13.0,59.0,0.45483026,0.5208,342.6077,27.31821
42,VITS - eta: 10,15,0.63461536,15.0,65.0,13.0,64.0,0.425316,0.5632,373.72275,31.115038
42,VITS - eta: 10,16,0.625,13.0,60.0,13.0,59.0,0.45483026,0.5208,399.16022,25.43746
42,VITS - eta: 10,17,0.63461536,25.0,80.0,13.0,80.0,0.46502632,0.7,424.91107,25.750856
42,VITS - eta: 10,18,0.6442308,14.0,85.0,13.0,85.0,0.50740385,0.7512,450.9282,26.01713
42,VITS - eta: 10,19,0.63461536,28.0,105.0,14.0,75.0,0.49677253,0.7512,475.5253,24.59711
42,VITS - eta: 10,20,0.61538464,17.0,55.0,14.0,54.0,0.44436523,0.53786665,499.12656,23.601263
42,VITS - eta: 10,21,0.63461536,17.0,80.0,15.0,78.0,0.46403793,0.8706667,525.92145,26.794907
42,VITS - eta: 10,22,0.63461536,13.0,90.0,13.0,89.0,0.53296,0.7856,550.7226,24.80113
42,VITS - eta: 10,23,0.63461536,22.0,105.0,13.0,57.0,0.53296,0.50373334,573.5095,22.786934
42,VITS - eta: 10,24,0.6442308,14.0,95.0,14.0,94.0,0.5051643,0.9389333,598.04895,24.53943
42,VITS - eta: 10,25,0.63461536,11.0,75.0,11.0,75.0,0.43245918,0.5122667,623.1196,25.070671
42,VITS - eta: 10,26,0.63461536,18.0,80.0,12.0,80.0,0.39056924,0.632,646.1703,23.050682
42,VITS - eta: 10,27,0.6442308,11.0,85.0,11.0,85.0,0.4403684,0.5808,667.7789,21.608583
42,VITS - eta: 10,28,0.625,27.0,50.0,12.0,49.0,0.32882273,0.38426667,692.13586,24.356997
42,VITS - eta: 10,29,0.6442308,10.0,100.0,10.0,99.0,0.44009998,0.5976,725.5349,33.399063
42,VITS - eta: 10,30,0.63461536,9.0,55.0,9.0,54.0,0.31418183,0.33306667,762.9602,37.42529
42,VITS - eta: 10,31,0.6442308,14.0,100.0,9.0,99.0,0.38978,0.5976,806.16003,43.199852
42,VITS - eta: 10,32,0.63461536,23.0,90.0,9.0,89.0,0.43998095,0.5464,856.3236,50.16358
42,VITS - eta: 10,33,0.63461536,13.0,80.0,10.0,79.0,0.432675,0.47813332,897.89087,41.567284
42,VITS - eta: 10,34,0.625,20.0,70.0,10.0,69.0,0.36642855,0.4184,939.13806,41.247215
42,VITS - eta: 10,35,0.63461536,25.0,70.0,10.0,70.0,0.3943,0.42693335,993.29736,54.159313
42,VITS - eta: 10,36,0.625,10.0,50.0,10.0,50.0,0.30531818,0.30746666,1068.4445,75.1471
42,VITS - eta: 10,37,0.6442308,16.0,95.0,10.0,95.0,0.4403684,0.5808,1196.6292,128.18472
42,VITS - eta: 10,38,0.6442308,10.0,80.0,10.0,80.0,0.43295318,0.48666668,1323.5106,126.881516
42,VITS - eta: 10,39,0.6442308,22.0,100.0,10.0,100.0,0.44009998,0.6144,1457.9161,134.40553
42,VITS - eta: 10,40,0.6442308,20.0,105.0,11.0,104.0,0.47414544,0.7,1589.4756,131.55946
42,VITS - eta: 10,41,0.63461536,13.0,55.0,11.0,55.0,0.36454165,0.37573335,1653.4407,63.96506
42,VITS - eta: 10,42,0.63461536,19.0,50.0,11.0,50.0,0.32885715,0.3416,1721.5668,68.126076
42,VITS - eta: 10,43,0.625,23.0,50.0,12.0,50.0,0.36015862,0.3928,1860.9785,139.41177
42,VITS - eta: 10,44,0.63461536,13.0,90.0,12.0,90.0,0.47401112,0.7,1985.2865,124.30803
42,VITS - eta: 10,45,0.65384614,24.0,105.0,13.0,93.0,0.4679906,0.8192,2104.5876,119.301155
42,VITS - eta: 10,46,0.63461536,9.0,70.0,9.0,69.0,0.35246363,0.4184,2161.292,56.70433
42,VITS - eta: 10,47,0.63461536,29.0,75.0,10.0,74.0,0.39827275,0.45253333,2201.167,39.874878
42,VITS - eta: 10,48,0.63461536,26.0,75.0,10.0,74.0,0.39827275,0.45253333,2252.3596,51.192547
42,VITS - eta: 10,49,0.625,22.0,55.0,10.0,55.0,0.3297531,0.33306667,2302.4226,50.06297
42,VITS - eta: 10,50,0.625,29.0,50.0,11.0,50.0,0.32885715,0.3416,2372.7285,70.30596
42,VITS - eta: 10,51,0.6442308,19.0,105.0,11.0,105.0,0.50975555,0.7168,2497.7554,125.026764
42,VITS - eta: 10,52,0.63461536,21.0,75.0,12.0,75.0,0.42783043,0.5808,2640.6233,142.86795
42,VITS - eta: 10,53,0.63461536,23.0,70.0,12.0,70.0,0.45547304,0.5464,2762.3782,121.75499
42,VITS - eta: 10,54,0.63461536,29.0,80.0,13.0,79.0,0.4355857,0.7,2823.0527,60.67445
42,VITS - eta: 10,55,0.6442308,20.0,100.0,13.0,100.0,0.4679906,0.88773334,2890.7034,67.6506
42,VITS - eta: 10,56,0.6442308,13.0,70.0,13.0,69.0,0.42843384,0.6144,2912.1362,21.432924
42,VITS - eta: 10,57,0.63461536,29.0,85.0,13.0,85.0,0.42843384,0.7512,2935.6147,23.47859
42,VITS - eta: 10,58,0.625,16.0,60.0,13.0,60.0,0.45483026,0.52933335,2961.8118,26.19693
42,VITS - eta: 10,59,0.63461536,21.0,70.0,14.0,70.0,0.45908487,0.7,2986.4897,24.677912
42,VITS - eta: 10,60,0.63461536,26.0,50.0,14.0,50.0,0.41965857,0.4952,3007.687,21.197262
42,VITS - eta: 10,61,0.625,16.0,65.0,14.0,65.0,0.38231042,0.6488,3033.7756,26.088614
42,VITS - eta: 10,62,0.625,10.0,65.0,10.0,64.0,0.36642855,0.3928,3058.2434,24.467731
42,VITS - eta: 10,63,0.625,12.0,50.0,10.0,50.0,0.30531818,0.30746666,3095.4546,37.21109
42,VITS - eta: 10,64,0.6442308,16.0,85.0,11.0,84.0,0.4403684,0.5632,3147.1582,51.703697
42,VITS - eta: 10,65,0.625,14.0,60.0,11.0,60.0,0.36580834,0.40986666,3213.7944,66.63626
42,VITS - eta: 10,66,0.63461536,20.0,65.0,12.0,65.0,0.4294143,0.50373334,3291.1025,77.30816
42,VITS - eta: 10,67,0.65384614,16.0,105.0,12.0,93.0,0.53692853,0.7168,3420.648,129.5454
42,VITS - eta: 10,68,0.6442308,23.0,85.0,12.0,85.0,0.46817097,0.6656,3464.062,43.414062
42,VITS - eta: 10,69,0.625,18.0,65.0,13.0,65.0,0.425316,0.5632,3489.7646,25.702515
42,VITS - eta: 10,70,0.6442308,11.0,95.0,11.0,95.0,0.47529998,0.6488,3511.748,21.983448
42,VITS - eta: 10,71,0.625,23.0,60.0,12.0,59.0,0.39056924,0.46106666,3535.665,23.917015
42,VITS - eta: 10,72,0.61538464,14.0,50.0,12.0,49.0,0.36015862,0.38426667,3562.58,26.91496
42,VITS - eta: 10,73,0.63461536,15.0,55.0,13.0,54.0,0.41961232,0.47813332,3601.1218,38.541824
42,VITS - eta: 10,74,0.625,19.0,60.0,13.0,59.0,0.45483026,0.5208,3652.5017,51.379864
42,VITS - eta: 10,75,0.63461536,24.0,60.0,13.0,59.0,0.45483026,0.5208,3701.8936,49.391914
42,VITS - eta: 10,76,0.63461536,28.0,75.0,14.0,74.0,0.49677253,0.7344,3749.665,47.771404
42,VITS - eta: 10,77,0.6442308,9.0,90.0,9.0,89.0,0.43998095,0.5464,3785.3425,35.677525
42,VITS - eta: 10,78,0.625,20.0,50.0,10.0,49.0,0.29637858,0.29893333,3809.9116,24.569128
42,VITS - eta: 10,79,0.63461536,22.0,90.0,10.0,89.0,0.45554566,0.5464,3853.375,43.46326
42,VITS - eta: 10,80,0.63461536,27.0,75.0,11.0,74.0,0.39827275,0.50373334,3902.2957,48.92056
42,VITS - eta: 10,81,0.65384614,21.0,105.0,11.0,104.0,0.47414544,0.7,3955.6704,53.37465
42,VITS - eta: 10,82,0.6442308,28.0,100.0,11.0,100.0,0.4746684,0.6832,3994.0337,38.363323
42,VITS - eta: 10,83,0.63461536,19.0,70.0,12.0,70.0,0.45547304,0.5464,4017.051,23.01744
42,VITS - eta: 10,84,0.63461536,10.0,85.0,10.0,85.0,0.45554566,0.5208,4040.9075,23.85653
42,VITS - eta: 10,85,0.63461536,16.0,70.0,11.0,69.0,0.42886874,0.4696,4067.005,26.09749
42,VITS - eta: 10,86,0.63461536,17.0,85.0,11.0,85.0,0.4403684,0.5808,4093.5315,26.526648
42,VITS - eta: 10,87,0.63461536,21.0,80.0,12.0,80.0,0.45554566,0.632,4118.822,25.29049
42,VITS - eta: 10,88,0.625,19.0,65.0,12.0,64.0,0.4294143,0.4952,4145.5186,26.696884
42,VITS - eta: 10,89,0.6442308,17.0,95.0,12.0,95.0,0.50975555,0.7344,4173.5044,27.986038
42,VITS - eta: 10,90,0.63461536,26.0,65.0,13.0,65.0,0.425316,0.5632,4196.9766,23.472364
42,VITS - eta: 10,91,0.6442308,18.0,85.0,13.0,85.0,0.50740385,0.7512,4219.8765,22.899775
42,VITS - eta: 10,92,0.63461536,18.0,95.0,14.0,75.0,0.49677253,0.7512,4243.426,23.54953
42,VITS - eta: 10,93,0.63461536,18.0,90.0,14.0,90.0,0.46733335,0.88773334,4267.011,23.585594
42,VITS - eta: 10,94,0.63461536,22.0,65.0,14.0,65.0,0.38231042,0.6488,4293.9097,26.898626
42,VITS - eta: 10,95,0.63461536,24.0,75.0,15.0,75.0,0.52020967,0.8368,4316.689,22.779305
42,VITS - eta: 10,96,0.625,12.0,95.0,12.0,95.0,0.28614667,0.7344,4342.023,25.334093
42,VITS - eta: 10,97,0.6442308,29.0,90.0,13.0,90.0,0.46502632,0.7856,4367.193,25.170023
42,VITS - eta: 10,98,0.6442308,27.0,100.0,13.0,100.0,0.4679906,0.88773334,4389.9126,22.719812
42,VITS - eta: 10,99,0.6442308,18.0,100.0,14.0,89.0,0.4679906,0.88773334,4413.458,23.545267
42,VITS - eta: 10,100,0.6442308,15.0,95.0,14.0,95.0,0.5051643,0.9389333,4437.456,23.998209
42,VITS - eta: 10,101,0.625,20.0,90.0,14.0,53.0,0.44436523,0.52933335,4459.0024,21.546589
42,VITS - eta: 10,102,0.65384614,11.0,105.0,11.0,92.0,0.50975555,0.632,4483.8433,24.840904
42,VITS - eta: 10,103,0.61538464,21.0,90.0,11.0,90.0,0.3036389,0.6144,4510.9355,27.092396
42,VITS - eta: 10,104,0.6442308,25.0,105.0,12.0,105.0,0.53664446,0.8192,4532.004,21.068499
42,VITS - eta: 10,105,0.6057692,28.0,80.0,12.0,80.0,0.06500833,0.632,4556.5396,24.53557
42,VITS - eta: 10,106,0.63461536,12.0,80.0,12.0,80.0,0.46566564,0.632,4580.2793,23.73964
42,VITS - eta: 10,107,0.625,16.0,55.0,12.0,54.0,0.360725,0.4184,4601.3823,21.102884
42,VITS - eta: 10,108,0.63461536,17.0,65.0,12.0,64.0,0.4294143,0.4952,4633.4053,32.022827
42,VITS - eta: 10,109,0.63461536,11.0,55.0,11.0,54.0,0.32934666,0.3672,4672.021,38.615543
42,VITS - eta: 10,110,0.63461536,21.0,65.0,11.0,65.0,0.39382905,0.444,4729.526,57.504677
42,VITS - eta: 10,111,0.625,10.0,55.0,10.0,55.0,0.3297531,0.33306667,4793.8076,64.28168
42,VITS - eta: 10,112,0.6442308,11.0,95.0,10.0,95.0,0.4403684,0.5808,4915.9336,122.12581
42,VITS - eta: 10,113,0.6442308,27.0,70.0,10.0,70.0,0.3943,0.42693335,5048.326,132.39235
42,VITS - eta: 10,114,0.61538464,25.0,55.0,11.0,55.0,0.36454165,0.37573335,5184.3555,136.02911
42,VITS - eta: 10,115,0.625,16.0,75.0,11.0,75.0,0.43245918,0.5122667,5305.0596,120.70407
42,VITS - eta: 10,116,0.625,20.0,50.0,12.0,50.0,0.36015862,0.3928,5427.8247,122.765045
42,VITS - eta: 10,117,0.63461536,11.0,90.0,11.0,90.0,0.44009998,0.6144,5556.3516,128.52692
42,VITS - eta: 10,118,0.6442308,15.0,100.0,12.0,100.0,0.5375091,0.7856,5676.1055,119.753716
42,VITS - eta: 10,119,0.63461536,24.0,55.0,12.0,55.0,0.39027333,0.42693335,5800.9946,124.88929
42,VITS - eta: 10,120,0.63461536,25.0,90.0,12.0,90.0,0.47401112,0.7,5922.9673,121.97251
42,VITS - eta: 10,121,0.63461536,18.0,75.0,13.0,74.0,0.4579273,0.6488,6050.89,127.923065
42,VITS - eta: 10,122,0.6442308,19.0,90.0,13.0,89.0,0.53296,0.7856,6116.524,65.63371
42,VITS - eta: 10,123,0.63461536,24.0,70.0,14.0,62.0,0.42011538,0.6144,6146.6196,30.09551
42,VITS - eta: 10,124,0.6442308,9.0,95.0,9.0,95.0,0.3125,0.5808,6168.6665,22.047089
42,VITS - eta: 10,125,0.63461536,27.0,60.0,10.0,59.0,0.28853637,0.35866666,6193.9736,25.307045
42,VITS - eta: 10,126,0.63461536,20.0,60.0,10.0,59.0,0.330924,0.35866666,6231.0693,37.09588
42,VITS - eta: 10,127,0.63461536,20.0,55.0,10.0,55.0,0.3297531,0.33306667,6282.4053,51.33587
42,VITS - eta: 10,128,0.63461536,10.0,75.0,10.0,75.0,0.39827275,0.46106666,6347.5024,65.09723
42,VITS - eta: 10,129,0.6442308,24.0,85.0,10.0,85.0,0.45554566,0.5208,6472.019,124.51657
42,VITS - eta: 10,130,0.65384614,29.0,95.0,11.0,95.0,0.47529998,0.6488,6605.642,133.62311
42,VITS - eta: 10,131,0.6442308,13.0,105.0,11.0,104.0,0.47414544,0.7,6735.732,130.08961
42,VITS - eta: 10,132,0.6442308,9.0,85.0,9.0,84.0,0.41636428,0.5122667,6798.8574,63.12564
42,VITS - eta: 10,133,0.6442308,22.0,80.0,9.0,79.0,0.26016316,0.47813332,6849.1826,50.325127
42,VITS - eta: 10,134,0.63461536,14.0,80.0,9.0,79.0,0.26016316,0.47813332,6902.174,52.99138
42,VITS - eta: 10,135,0.625,28.0,50.0,10.0,50.0,0.30531818,0.30746666,6950.9316,48.75764
42,VITS - eta: 10,136,0.6442308,15.0,90.0,10.0,90.0,0.45554566,0.5464,7019.271,68.33915
42,VITS - eta: 10,137,0.6442308,29.0,105.0,11.0,104.0,0.50975555,0.7,7134.6147,115.34361
42,VITS - eta: 10,138,0.65384614,26.0,100.0,11.0,99.0,0.47500667,0.6656,7194.303,59.68856
42,VITS - eta: 10,139,0.625,18.0,60.0,11.0,59.0,0.36580834,0.40133333,7241.921,47.61771
42,VITS - eta: 10,140,0.63461536,15.0,70.0,12.0,69.0,0.45547304,0.53786665,7294.818,52.897198
42,VITS - eta: 10,141,0.6442308,10.0,95.0,10.0,94.0,0.4403684,0.5808,7347.991,53.173286
42,VITS - eta: 10,142,0.63461536,22.0,50.0,11.0,50.0,0.32885715,0.3416,7394.616,46.625126
42,VITS - eta: 10,143,0.63461536,16.0,80.0,11.0,79.0,0.45548588,0.53786665,7444.0923,49.475853
42,VITS - eta: 10,144,0.6442308,23.0,80.0,12.0,79.0,0.4355857,0.6144,7509.1084,65.01612
42,VITS - eta: 10,145,0.63461536,22.0,70.0,12.0,69.0,0.45547304,0.53786665,7579.73,70.6217
42,VITS - eta: 10,146,0.63461536,23.0,100.0,12.0,99.0,0.50975555,0.768,7627.3525,47.62258
